to delete,dup check,checked,Original Item,Original Proposed definition,Item,Requirement Definition,Scoring: Meets,Scoring: Partial,Scoring: Does Not Meet,Scoring: NA,FAIR category,AI FAIR Criteria: Structural | Scientific | Provenance | Governance,Broad categories,Sub category,"Required (core, auto, or recommended)",Use-case scope (Condition),Applies-at-level,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,Note
,,x,Paper,"Canonical publication describing the data (e.g., dataset descriptor). there should only be one",Canonical Descriptor Publication,Dataset metadata references the canonical peer-reviewed publication or data paper describing the dataset.,The canonical data paper is linked via a persistent identifier (DOI) in structured citation metadata.,Paper is cited as informal text or title without a resolvable DOI or structured citation schema.,No canonical descriptor publication or preprint is cited in dataset metadata.,Dataset has not been described in a published scientific paper or preprint.,Findable | Reusable,Scientific | Provenance,General Information,References,core,If published,dataset,dataset/literatureCited,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDescribedBy""]",sc:citation,sc:citation,croissant-native,"Ex: Paper for TreeOfLife-200M:
BioCLIP 2: Emergent Properties from Scaling Hierarchical Contrastive Learning

Sourced from the Imageomics dataset card checklist."
delete,source dup,dup with 33?,Data source,List of constituent sources or Original Data,Constituent Source Identification,Dataset metadata explicitly enumerates all primary or secondary constituent data sources compiled into the dataset.,"All constituent data sources (e.g., GBIF, NEON, iNaturalist) are explicitly listed with version numbers and access URLs.",Constituent sources are mentioned broadly in narrative text without versioning or precise catalog identifiers.,"Dataset is a compilation or derived product, but original source entities are not identified.","Dataset represents a primary, single-source observation collection.",Reusable,Scientific | Provenance,General Information,References,core,All use cases,dataset,,,,,,"Ex: derived data or original source
- TOL-200M is made of GBIF, EOL, FathomNet, and BIOSCAN-5M
- NEON data is original source

Use-case: TOL-200M is made of multiple datasets, this is a key in HF for easy linking to those sources for provenance"
keep,related data dup,x,Related dataset,"Another dataset related to this one (e.g., a parent collection or a dataset this is part of), linked by identifier. Ref: schema.org sc:isPartOf; Croissant sc:isPartOf; DataCite relatedIdentifier[References].",Companion and Peer Dataset Linkages,"Dataset metadata provides persistent links to complementary sibling datasets, multimodal companion packages, or spatial/temporal extensions within the same study (i.e., related datasets).","Peer or companion datasets (e.g., co-located sensor data, raw media companion packages) are linked via typed relationship PIDs (e.g., isSupplementTo, hasPart).",Companion datasets are referenced informally in narrative text without structured relationship types or resolvable PIDs.,Known complementary or sibling datasets from the study are omitted entirely.,"Dataset is fully self-contained with no external companion, sibling, or extension datasets.",Findable,Scientific | Provenance,General Information,References,auto,All use cases,dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""References""]",sc:isPartOf,sc:isPartOf,croissant-native,"proposed definition generated by Claude

e.g., derived from or uses

Use-case: knowledge web/ontology - should be auto-generated as datasets using/building on the data compared to the original source

Sourced from the Imageomics dataset card checklist."
,,x,Related paper (cited by),A publication that cites or uses this dataset (distinct from the paper that describes it). Ref: DataCite relatedIdentifier[IsCitedBy]; schema.org sc:citation.,Downstream Literature Citations,"Dataset metadata or landing page tracks downstream publications that utilize, benchmark, or cite the dataset.","Downstream publications are indexed via structured machine-readable citation links (e.g., DataCite IsCitedBy).","Downstream papers are listed in static, unstructured text or an informal bibliography.",Known downstream literature citations are untracked or omitted.,Dataset is newly published and has no downstream citations to date.,Findable,Scientific | Provenance,General Information,References,auto,All use cases,dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""IsCitedBy""]",,,croissant-partial,"proposed definition generated by Claude

This also has a HF key linkage on the side panel, though I'm not sure that's where this originally came from

Use-case: knowledge web/ontology - should be auto-generated as papers citing the data compared to one describing it (e.g., dataset descriptor)

Sourced from the Imageomics dataset card checklist."
delete,dup author,x,Creators,Who made this product (derived datasets have questions later),Dataset Creators and Authors,Dataset metadata explicitly identifies all individuals and organizations responsible for creating the dataset.,"All creators are documented with full names, institutional affiliations, and structured author schema.",Creators are listed as unstructured text strings without institutional affiliations or structured schema.,Creator/author information is missing or anonymous.,Never NA (mandatory for all datasets).,Reusable,Provenance,General Information,Standard Metadata,core,All use cases,dataset,dataset/creator,creators/creator,sc:creator,sc:creator,croissant-partial,"SR: this term was flagged as ambiguous in the feedback document Ex: TreeOfLife-200M, Curated by:
Jianyang Gu, Samuel Stevens, Elizabeth G. Campolongo, Matthew J. Thompson, Net Zhang, Jiaman Wu, Andrei Kopanev, and Alexander E. White"
,,x,Title (or pretty name),"The human-readable name of the dataset, distinct from a repository slug (account/repo-name). Ex: ""KABR Raw Videos"" instead of ""Imageomics/KABR-raw-videos"". Ref: schema.org sc:name; EML dataset/title; DataCite titles/title.",Descriptive Dataset Title,"Dataset has a clear, human-readable, descriptive title distinct from repository slugs or file path names.","A formal, descriptive, human-readable title is provided across metadata records and repository landing pages.","Title is present but identical to raw repository slug, file directory name, or overly abbreviated.",No dataset title is provided.,Never NA (mandatory for all datasets).,Findable,Provenance,General Information,Standard Metadata,core,All use cases,dataset,dataset/title,titles/title,sc:name,sc:name,croissant-native,"proposed definition generated by Claude

Ex: 2018 NEON Ethanol-preserved Ground Beetles, different from repo name (2018-NEON-beetles)

Sourced from the Imageomics dataset card checklist."
keep,description dup,edited,Summary/abstract,Croissant: description,Comprehensive Dataset Abstract,"Dataset metadata includes a scientific description, summary, or abstract describing background, methods, scope, and findings.","An abstract covering background, methodology, and domain scope is populated in metadata.",Abstract is excessively brief.,No abstract or comprehensive scientific description is provided.,Never NA (mandatory for all datasets).,Findable,Scientific,General Information,Standard Metadata,core,All use cases,dataset,dataset/abstract,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,croissant-native,"Use-case: Needed, but maybe not for initial browsing?"
keep,date dup,x,Date created observed in the field,Collection/observation date (might be range or sampling period) of the source.,Observation Temporal Extent,Dataset metadata specifies the precise date or date range during which field observations or raw measurements were collected.,"Start and end dates/timestamps are structured in ISO 8601 format (e.g., YYYY-MM-DD or interval) in temporal metadata.","Temporal coverage is mentioned informally (e.g., 'summer 2021') without machine-readable ISO 8601 formatting.",No field collection dates or temporal bounding periods are documented.,Dataset is purely synthetic or algorithmic with no temporal observation anchor.,Findable | Reusable,Scientific | Provenance,General Information,Standard Metadata,core,All use cases,dataset; event,dataset/pubDate,"dates/date[@dateType=""Created""]",sc:dateCreated,sc:dateCreated,croissant-partial,"Should this be created or published? SR: this term was flagged as ambiguous in the feedback document
This gets at a versioning concern: ongoing curation, e.g., GBIF snapshots or NEON collections. Would need download date (especially for data that is constantly updated) and release/version date (""creation"" takes time)

Use-case: For purposes of initial browsing, value judgment of use -- collection date would be most meaningful (over digitization or publication date) for an ecologist
Could be collection date range (or observation dates)"
keep,dup repo,x,Publisher,"Site on which the dataset is published (e.g., Hugging Face or Zenodo). From the first pass perspective, this provides context for what more detailed questions and how they can be asked.",Data Publisher and Host,"Dataset metadata explicitly identifies the publishing organization, data center, or hosting repository platform.","Publishing entity (e.g., Zenodo, Hugging Face, EDI, GBIF) is documented with structured schema and persistent identifier/URL.",Hosting platform is visible by URL location but not formally structured in dataset metadata.,Publisher and distribution host are undocumented.,Never NA (mandatory for all datasets).,Findable | Accessible,Structural | Provenance,General Information,Standard Metadata,core,All use cases,dataset,dataset/publisher,publisher,sc:publisher,sc:publisher,croissant-native,"Publisher = e.g., HF or Zenodo? SR: this term was flagged as ambiguous in the feedback document especially for existing resources
EC: schema.org definition is ambiguous to me too--good question to the group

Use-case: General where is it, need to know for API/what deeper questions can be asked (from the first pass perspective)"
,,x,File format,"file type(s): PDF, PNG, JPG, tar, etc.",Standardized File Formats,"Dataset files are distributed in standard, well-documented file formats with explicit MIME/media types specified in metadata.","All files use standard formats (e.g., CSV, Parquet, GeoTIFF, WebP) with explicit MIME types defined in distribution metadata.",Files use recognizable extensions but MIME types are omitted or inconsistent across archives.,"Files use obscure, non-standard, or unidentifiable file formats without type documentation.",Never NA (mandatory for all datasets).,Interoperable | Accessible,Structural,Data Structure,Data format,core,All use cases,dataset,dataset/[entityType]/physical/distribution/dataFormat/[textFormat | externallyDefinedFormat | binaryRasterFormat],formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
,,x,Dataset structure/format,How is the dataset structured (this could be a file tree or description of the collection of files in a flat directory),Dataset Directory Structure,"Dataset provides documentation of its internal directory hierarchy, archive layout, and file organization.",A clear visual file tree or explicit structural diagram documents the organizational schema of directories and files.,Directory structure is briefly described in text but lacks a comprehensive file tree or layout schematic.,"Files are distributed in an undocumented, unstructured flat or arbitrary folder hierarchy.",Dataset consists of a single monolithic file requiring no directory hierarchy documentation.,Interoperable,Structural,Data Structure,Data format,recommended,All use cases,dataset,dataset/[entityType]/physical/distribution/dataFormat/[textFormat | externallyDefinedFormat | binaryRasterFormat],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:encodingFormat,cr:RecordSet,croissant-native,
,,x,"Data instances (file descriptions, e.g., shards)","per-file descriptions (e.g., list of CSVs describing what each contains)",File Instance Inventory,"Dataset metadata includes an itemized inventory describing the contents, record counts, and roles of individual files or shards.","Every data file/shard is documented with record counts, byte sizes, and explicit content descriptions in metadata.","File descriptions exist for main data tables, but shards, ancillary files, or split partitions are omitted.",Individual files and shards lack itemized descriptions or content inventories.,Dataset is composed of a single self-describing data file.,Interoperable,Structural,Data Structure,Data format,recommended,All use cases,dataset; media-annotation,dataset/[entityType],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution,cr:FileObject; cr:FileSet,croissant-native,SR: I had trouble finding a good match for this one
,,x,Data organization,"How records, files, and assets are organized and relate to one another (tabular tables, image directories, sharded archives). Ref: Croissant cr:RecordSet / cr:FileObject / cr:FileSet; schema.org sc:distribution.",Relational Data Architecture,"Dataset documentation defines relational schemas, primary/foreign keys, and linkages between multiple tables or modalities.","All table linkages, foreign key relations, and cross-modal mappings (e.g., image IDs to tabular rows) are formally defined.",Relational connections exist implicitly in column headers but lack formal schema documentation.,Multi-table or multi-modal datasets provide no guidance on how files and entities interconnect.,Dataset is a single flat table or single-modality file with no relational dependencies.,Interoperable,Structural,Data Structure,Data organization,recommended,All use cases,dataset; media-annotation,dataset/[entityType],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution,cr:RecordSet; cr:FileObject; cr:FileSet,croissant-native,"Potential duplicate of dataset structure/format

proposed definition generated by Claude
"
,,too specific?,Features,EML attributes,Feature Attribute Specification,"Dataset metadata specifies individual feature attributes, measurement variables, and target columns.","Every variable/column is documented with explicit feature semantics, domain definitions, and observational contexts.","Primary features are described, but auxiliary features, flags, or engineered columns are omitted.",Feature attributes and columns are unlisted or unexplained.,Dataset consists solely of unannotated raw media files.,Interoperable,Structural | Scientific,Data Structure,Features ,core,All use cases,occurrence,dataset/[entityType]/attributeList/attribute,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:RecordSet/cr:field,croissant-native,"e.g., metadata columns (taxonomy, age, location, etc.) [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]"
keep,split dup,x,Technical specs,"Size of files or subsets (e.g., train/test splits, group vs individual specimen images), size of overall dataset",Technical and Storage Specifications,"Dataset metadata details technical storage specifications, including total compressed archive size, uncompressed on-disk footprint, total file/record counts, and memory (RAM) requirements.","Exact byte sizes (compressed and uncompressed), total record/file counts, and hardware memory requirements are documented in structured metadata fields.","Approximate total file size is noted informally (e.g., in a README), but uncompressed dimensions, record counts, or memory requirements are omitted.","No file size, file count, or storage specifications are provided.",Never NA (mandatory baseline structural metadata for all datasets).,Interoperable,Structural,Data Structure,Technical specs,recommended,All - esp. large-scale/sharded,dataset,dataset/[entityType]/physical/size,sizes/size,sc:distribution/sc:contentSize,cr:FileObject/sc:contentSize,croissant-native,
delete,date dup,is this a dupcliate of “Observation Temporal Extent”?,Collection date or date range,Date (or date range in which) the data was collected,Data Collection Period,Dataset specifies precise temporal bounding timestamps for individual sampling events or time-series observations.,Temporal coverage is rigorously documented with machine-readable timestamps down to sampling event granularity.,"Sampling period is given at coarse resolution (e.g., year only) when fine-grained timestamps exist in raw data.",Temporal sampling intervals and collection timestamps are entirely omitted.,"Dataset features are invariant to time (e.g., static morphological reference diagrams).",Reusable,Structural | Scientific,Source Data,collection,core,All - esp. Time-series & Supervised-ML splits,event,,,,,croissant-partial,"Should we put download date here too as option if derived?? Should both be moved to derived data? GM:  If this is to describe the original source of a (this) derived dataset, then the source identified in Provenance should have adequate metadata that shouldn't need to be repeated here."
,,x,Data source type,"origins from which data is collected, processed, and used for analysis or reporting - e.g., databases, APIs, flat files, streaming data, rss feeds, social media, web scraping",Data Modality and Origin Type,"Dataset metadata classifies the operational modality and collection origin (e.g., sensor telemetry, satellite, field survey, API).","Origin modality is explicitly categorized using controlled vocabulary terms (e.g., remote sensing, bioacoustics, camera trap).",Origin type is mentioned in narrative text without controlled taxonomy classification.,Origin modality and collection mechanism are unspecified.,Never NA (applies to all datasets).,Reusable,Structural | Provenance,Source Data,collection,core,All - esp. Derived & API-harvested,dataset; event,dataset/methods/sampling,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,croissant-partial,This could get confusing because dataType is an important field in Croissant for defining field data types
keep,source dup,x,Source data / data source,"the specific data source, URL, other identifier -- specifically linkage to the source",Upstream Source Attribution and DOIs,Derived or compiled datasets explicitly enumerate and cite all constituent source datasets using formal bibliographic references and persistent identifiers (DOIs/PIDs).,"All constituent source datasets are cited with formal bibliographic metadata and resolvable DOIs/PIDs via structured schema relations (e.g., isDerivedFrom, isBasedOn).",Upstream sources are named in narrative text or listed with generic URLs without formal citations or persistent identifiers.,"Derived dataset incorporates external data sources without acknowledging, citing, or linking constituent sources.",Dataset consists exclusively of primary raw observations collected directly by the authoring team.,Reusable,Provenance,Source Data,collection,core,Derived/compiled datasets,dataset; event,dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-partial,GM: I believe this would be provided in the Provenance DOI item
keep,scope dup,x,Curation rationale,Why was this dataset created,Curation and Filtering Rationale,"Dataset documentation describes the criteria, thresholds, and rationale used to curate, filter, or subsample the data.","Explicit curation rationale, filtering thresholds, quality gates, and exclusion criteria are systematically documented.",Curation rationale is mentioned broadly without specifying exact filtering thresholds or selection parameters.,Data curation and inclusion/exclusion decisions are undocumented.,"Dataset represents a raw, uncurated, unfiltered census or sensor dump.",Reusable,Scientific | Provenance,Source Data,collection,recommended,All use cases,dataset; event,dataset/purpose,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,oos->EML,
keep,related data dup,x,Membership in a larger collection is documented,Is this part of some larger collection,Parent Observatory and Program Membership,"Dataset metadata defines formal membership in an umbrella observatory network, long-term monitoring program, or standardized dataset series.","Parent observatory, research network, or formal dataset series (e.g., NEON, LTER, GBIF network) is structured using persistent collection/project identifiers (isPartOf, dataset/project).",Parent research program or network is mentioned in acknowledgements or text without structured series/collection metadata.,"Dataset belongs to an established long-term observatory or multi-dataset program, but parent membership is omitted.","Dataset originates from an independent, standalone project unaffiliated with an umbrella program or dataset series.",Findable,Scientific | Provenance,Source Data,collection,recommended,All use cases,dataset; event,dataset/project;dataset/series,"relatedIdentifiers/relatedIdentifier[@relationType=""IsPartOf""]",sc:isPartOf,sc:isPartOf,croissant-partial,"Ex: KABR or SmartWilds datasets; multiple datasets part of the same or related collection effort, designed to be complementary/combined"
,,x,Sensor metadata (link),"contextual data that describes how, when, and where sensor data was collected",Sensor and Instrument Metadata,"Dataset provides detailed instrument calibrations, hardware specifications, and sensor firmware metadata.","Sensor make, model, serial number, calibration parameters, and settings are documented or linked via sensor standards.","General sensor type is mentioned (e.g., 'camera trap') without specific model numbers, lens specs, or calibration info.",Sensor-derived dataset provides no hardware specifications or instrument metadata.,Dataset was generated through human manual observation or non-sensor collection methods.,Reusable,Structural | Scientific,Source Data,instrumentation,core,"Sensor/instrument (camera trap, drone, bioacoustics, telemetry, remote sensing)",media-annotation; event,dataset/methods/methodStep/instrumentation,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"Should link to a sensor-based extension (e.g, fair_drones)"
