Item,Requirement Definition,Scoring: Meets,Scoring: Partial,Scoring: Does Not Meet,Scoring: NA,FAIR category,AI FAIR Criteria: Structural | Scientific | Provenance | Governance,Broad categories,Sub category,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,Note
Dataset Creators and Authors,"Dataset metadata explicitly identifies all primary authors, scientific investigators, and creator organizations responsible for data generation and curation.","All primary authors and creating organizations are documented with full names, institutional affiliations, and structured author schema (e.g., EML creator, DataCite creator, schema.org creator).","Authors/creators are listed as plain text strings without institutional affiliations, roles, or structured schema markup.","Creator and author attribution is entirely missing, anonymous, or unverifiable.",Never NA (mandatory baseline attribution for all datasets).,Reusable,Provenance,Provenance,Citation,dataset/creator,creators/creator,sc:creator,sc:creator,croissant-native,For the croissant mapping in this section of the checklist we will need to be mapping to PROV ontology as described: https://docs.mlcommons.org/croissant/docs/croissant-spec-1.1.html#provenance-representation]
Author Persistent Identifiers,"Dataset metadata provides persistent digital person identifiers (e.g., ORCID iDs) for all human authors and contributors to resolve identity ambiguities.","Valid, resolvable ORCID iDs (e.g., https://orcid.org/0000-...) or similar are structured for all listed human authors and contributors.","ORCID iDs (or similar) are provided for the lead/corresponding author only, or provided as plain unstructured text strings without URI formatting.",No author ORCID iDs or persistent person identifiers are provided.,"Dataset creator is exclusively an institutional body, automated sensor network, or government agency with no human authors.",Findable | Reusable,Provenance,Provenance,Citation,"dataset/creator/userId[@directory=""orcid""]","creators/creator/nameIdentifier[@nameIdentifierScheme=""ORCID""]",sc:creator/sc:sameAs,sc:creator/sc:sameAs,croissant-native,"Wouldn't apply if a device, organization or system."
Data Curator Attribution,"Dataset metadata distinguishes and attributes data curators who organized, cleaned, or formatted the dataset, e.g., for AI readiness.","Data curators are explicitly named with institutional affiliations, curator roles, and ORCID identifiers.",Curator names are mentioned in acknowledgements without formal metadata attribution or role specification.,Curators responsible for prepareing the dataset release are unacknowledged.,Dataset creator(s)/author(s) performed all curation directly with no separate curation personnel.,Reusable,Provenance,Provenance,Citation,dataset/associatedParty,"contributors/contributor[@contributorType=""DataCurator""]",sc:contributor,sc:contributor,croissant-partial,This has overlap with the author. Need to describe how the author and the curator are different.  Would we want an ORCID for this person as well?
Dataset Card Authorship,Dataset metadata attributes the specific authors responsible for writing and maintaining the dataset card / documentation.,"Dataset card authors are documented with names, affiliations, and contact details.",Dataset card authorship is implied by general dataset authors but not explicitly designated.,No authorship or accountability is documented for the dataset documentation.,No standalone dataset card or documentation sheet exists for the dataset.,Reusable,Provenance,Provenance,Citation,dataset/associatedParty,"contributors/contributor[@contributorType=""DataCurator""]",sc:contributor,sc:contributor,croissant-partial,
Dataset Card Contact Point,Dataset documentation provides a monitored contact email or communication channel for documentation queries.,"A monitored, functional email address or helpdesk ticketing URL is provided specifically for dataset card inquiries.","A contact is listed, but email is unmaintained or a generic institutional switchboard.",No contact point is provided for dataset documentation inquiries.,No dataset card exists.,Reusable,Provenance,Provenance,Citation,dataset/contact,"contributors/contributor[@contributorType=""ContactPerson""]",sc:contactPoint,sc:contactPoint,croissant-native,
Domain Expert Contact Point,"Dataset metadata provides direct, monitored contact details for domain specialists qualified to resolve scientific, taxonomic, or ecological ambiguities during data reuse. Primary author or creator contact information may qualify if they represent the domain experts for the dataset.","Direct, active contact details (name, email/helpdesk, institutional affiliation) for designated domain/taxonomic experts (or qualified author/curator contacts) are structured in metadata.","A generic institutional contact (e.g., info@university.edu) is provided without naming specific scientific specialists or data stewards.","No contact information, helpdesk, or communication endpoint is provided for resolving scientific questions.",Never NA (essential operational requirement for resolving domain ambiguities in ML training).,Reusable,Provenance | Governance,Provenance,Citation,dataset/contact,"contributors/contributor[@contributorType=""ContactPerson""]",sc:contactPoint,sc:contactPoint,croissant-partial,"proposed definition generated by Claude


This may not match the person who wrote the dataset card"
Funder Information,Dataset metadata explicitly identifies all funding entities and sponsoring organizations responsible for data creation.,"Funder name is documented with a persistent organizational identifier (e.g., ROR ID, Crossref Funder ID) or structured metadata schema.",Funder is mentioned by name in unstructured narrative text without persistent identifiers or structured metadata fields.,No funding entities or financial sponsors are identified in dataset documentation.,Dataset was generated without external funding or sponsor support.,Reusable,Scientific | Provenance,General Information,Acknowledgements,dataset/project/funding,fundingReferences/fundingReference/funderName,sc:funder,sc:funder,croissant-partial,"Ex: NSF, NIH, etc."
Grant and Award Identifier,"Dataset metadata specifies formal grant, award, or contract numbers associated with funding sources.",Specific grant or award numbers (and award URIs/PIDs if available) are structured in dedicated funding metadata fields.,Grant numbers are mentioned informally in acknowledgements or text but not structured in dedicated metadata fields.,"Funding is referenced, but award or grant identification numbers are omitted.",Dataset was produced without formal grants or award identifiers.,Reusable,Scientific | Provenance,General Information,Acknowledgements,dataset/project/award,fundingReferences/fundingReference/awardNumber,sc:funder/sc:identifier,sc:funder,croissant-partial,"Ex: numbers for this grant: Awards 2531924, 2531922, 2531925, 2600200 "
Contributor Acknowledgements,"Dataset metadata acknowledges non-author contributors and specifies their roles in data collection, processing, or curation.","All non-author contributors are listed with structured roles (e.g., CRediT taxonomy) and standardized contributor metadata.",Contributors are acknowledged in narrative free text without structured roles or standardized contributor tags.,No non-author contributors or auxiliary contributions are documented.,Dataset creation was executed solely by the primary authors with no external contributors.,Reusable,Scientific | Provenance,General Information,Acknowledgements,dataset/associatedParty,contributors/contributor,sc:contributor,sc:contributor,croissant-partial,"Could be free-text acknowledgment (e.g., ""thank you to Jane and John for their feedback..."")"
Dataset License Specification,"Dataset metadata explicitly defines legal terms of use, redistribution rights, and licensing terms.","A clear, legally valid license (e.g., CC-BY-4.0, CC0, ODC-By) is formally declared in metadata.",Licensing terms are mentioned in an informal text statement without referencing a standard formal license.,"No license or terms of use are specified, leaving legal reuse status ambiguous.",Never NA (mandatory for open data and AI pipelines).,Accessible | Reusable,Provenance | Governance,Data Access,License & Rights,dataset/licensed,rightsList/rights,sc:license,sc:license,croissant-native,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
Standardized Machine-Readable License,"Dataset license is expressed via standardized, machine-readable identifier schemes (e.g., SPDX identifier, Creative Commons URI).","License is encoded using an official SPDX identifier (e.g., 'CC-BY-4.0') or canonical license URI.","Standard license is named, but machine-readable SPDX identifier or schema.org license URI is omitted.","License is a custom, bespoke legal text that cannot be parsed by automated license scrapers.",Never NA (applies to all licensed datasets).,Accessible | Reusable,Structural | Provenance,Data Access,License & Rights,dataset/licensed/[url | identifier],"rightsList/rights[@rightsIdentifierScheme=""SPDX""]",sc:license,sc:license,croissant-native,Because sometimes there is a bespoke license...
Collection Permits and Legal Governance,"Dataset metadata documents formal scientific collection permits, landowner permissions, and ethical research authorizations.","All research permits, wildlife collection licenses, and access agreements are listed with permit numbers and granting bodies.","Permit acquisition is asserted in text, but formal permit numbers and granting authorities are omitted.",Field collection or observational research was conducted without documented permits or legal authorization.,Observations were collected in public open spaces or digital platforms where no collection permits are required.,Reusable,Provenance | Governance,Governance,Governance,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Other""]",sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,"From IEEE CARE:  Whether permission was granted to collect the tangible object, material, or resource, or the intangible knowledges or information. "
Authorizing Agency Attribution,"Dataset metadata explicitly identifies the governing agencies, Indigenous authorities, or institutions that granted collection permits.","Permitting agencies (e.g., USFS, National Park Service, Tribal Authorities) are documented with contact details and jurisdiction.",Permitting agencies are named colloquially without formal jurisdictional or administrative detail.,Granting authority is unrecorded.,No collection permits or access authorizations were required.,Reusable,Provenance | Governance,Governance,Governance,dataset/associatedParty,"contributors/contributor[@contributorType=""Other""]",sc:provider,sc:provider,oos->extension,"From IEEE CARE:  Who granted the permission to collect the tangible object, material, or resource, or the intangible knowledges or information. "
Indigenous and Community Stewardship,"Dataset documentation identifies the Indigenous Peoples to whom the tangible object, material, or resource, or the intangible
knowledges or information was generated, produced, or collected. Ref: IEEE CARE","Traditional land stewardship, Indigenous communities, and CARE governance agreements (e.g., Biocultural Labels) are documented.","Land acknowledgement is included in narrative text, but formal community stewardship or CARE governance ties are unaddressed.",Indigenous or local community data stewardship and customary governance rights are ignored.,Dataset collected in jurisdictions or contexts where Indigenous/community data sovereignty is not applicable.,Reusable,Provenance | Governance,Governance,Governance,dataset/associatedParty,contributors/contributor,sc:contributor,sc:contributor,oos->extension,"From IEEE CARE: The Indigenous Peoples to whom the tangible object, material, or resource, or the intangible
knowledges or information was generated, produced, or collected."
Sensitive Data Handling and Obfuscation,"Dataset documentation demonstrates compliance with privacy, human subject, and endangered species protections, detailing any obfuscation, spatial fuzzing, or redaction protocols applied to the payload.","Formal ethics/governance compliance is documented (e.g., IRB, conservation board, Nagoya Protocol) AND any sensitive localities or PII are verified as systematically fuzzed, blurred, or redacted.","General claims of privacy/species protection are made, but specific spatial jittering radii, redaction criteria, or ethics approval references are omitted.","Dataset contains unmanaged PII, unredacted private land boundaries, or exact localities of highly threatened taxa without ethical governance.","Dataset contains strictly non-sensitive, widely distributed taxa or purely abiotic observations with zero PII or sensitive localities.",Accessible | Reusable,Scientific | Provenance | Governance,Data Access,Security & Privacy,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Other""]",sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,"proposed definition generated by Claude


e.g., endangered species information, human subjects"
Access Restriction Justification,"Dataset metadata explicitly documents the conservation justifications, legal mandates, or policy criteria under which open public download is restricted or gated.","Transparent criteria (e.g., IUCN Red List anti-poaching security, biometric privacy, Data Use Agreement requirements) justifying access gating are formally structured in metadata.","Access is gated behind approval or authentication, but explicit criteria and justification policies are vaguely articulated in narrative text.","Data access is restricted or withheld arbitrarily with no documented legal, ethical, or conservation justification.",Dataset is fully open access with no gated tiers or restricted distribution.,Accessible,Scientific | Provenance | Governance,Data Access,Security & Privacy,dataset/distribution/access,"descriptions/description[@descriptionType=""Other""]",sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,"proposed definition generated by Claude


e.g., HIPPA"
Secure Access Procedure,"Dataset provides a formal, documented pathway for vetted researchers to apply for and obtain secure access to restricted data.","A structured application procedure, credentialing criteria, and secure data transfer mechanism (e.g., DUA) are documented.","A contact email is given for access requests, but formal credentialing criteria and application workflows are absent.",Data access is restricted with no mechanism or procedure for qualified researchers to request access.,Dataset is completely open access with no restricted tiers.,Accessible,Scientific | Provenance | Governance,Data Access,Security & Privacy,dataset/distribution/access,"descriptions/description[@descriptionType=""Other""]",sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,"proposed definition generated by Claude


How to get access if conditional/secure?"
Direct Download Access,"Dataset provides persistent, direct HTTP/HTTPS download endpoints bypassing interactive web forms or session cookies.","Direct, programmatic download URLs (e.g., wget/curl compatible endpoints) are provided in distribution metadata.","Data can be downloaded from a web browser, but links require interactive clicks or session-locked landing pages.",No direct or automated download mechanism is available.,Dataset requires strictly gated authorization due to severe legal/privacy constraints.,Accessible,Structural,Data Access,Delivery Options,dataset/distribution/online/url,"relatedIdentifiers/relatedIdentifier[@relationType=""IsSupplementedBy""]",sc:distribution,cr:FileObject/sc:contentUrl,croissant-native,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
Cloud-Native Storage Access,"Dataset is hosted in cloud-native, object-based storage (e.g., AWS S3, Google Cloud Storage, Azure Blob) supporting direct read.",Public or requester-pays cloud object storage buckets (with S3/GCS URIs) support direct cloud computing access.,"Data is stored in cloud hosting, but requires downloading full archives rather than cloud-native streaming (e.g., Zarr, COG).",Dataset is only hosted on local on-premise servers with no cloud storage availability.,Dataset size is minimal and does not warrant cloud storage distribution.,Accessible,Structural,Data Access,Delivery Options,dataset/distribution/online/url,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:contentUrl,cr:FileObject/sc:contentUrl,croissant-native,
Programmatic API Availability,"Dataset provides a dedicated Application Programming Interface (API) for automated, granular, or streaming queries.",A fully operational public or authenticated REST/GraphQL API is available for querying records and downloading subsets.,"An API exists, but suffers from frequent downtime, undocumented endpoints, or severely restricted access.",No API is available; data can only be retrieved via static bulk archives.,"Dataset is a static, small archive where API infrastructure is unnecessary.",Accessible,Structural,Data Access,Delivery Options,dataset/distribution/online,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:url,cr:FileObject/sc:contentUrl,oos->extension,
API Architecture Specification,"Dataset documentation defines the architectural style and interface protocol of the API (e.g., REST, GraphQL, OGC WFS, STAC).","API architecture (e.g., OpenAPI 3.0, STAC, OGC API - Features) is explicitly declared in metadata.","API exists, but architectural type and protocol specifications are unstated.",API interface lacks architectural definition and protocol documentation.,No API is provided for the dataset.,Accessible | Interoperable,Structural,Data Access,Delivery Options,dataset/distribution/online,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:encodingFormat,cr:FileObject/sc:contentUrl,oos->extension,depends on yes to above
API Reference Documentation,"Dataset provides comprehensive, interactive documentation (e.g., Swagger/OpenAPI, Postman collection) for its API.","Complete OpenAPI/Swagger specifications, parameter documentation, and query examples are publicly accessible.","API documentation exists as static, incomplete text without parameter definitions or query examples.","API is accessible, but formal endpoint documentation is absent.",No API is provided for the dataset.,Accessible | Interoperable,Structural,Data Access,Delivery Options,dataset/distribution/online,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:APIReference,sc:APIReference,oos->extension,"Or does this come as property under WebAPI?
depends on yes to API available"
API Rate Limiting Policy,"Dataset API documentation explicitly specifies rate limits, concurrency quotas, and request burst allowances.","Exact numeric rate limits (e.g., requests per minute, daily quotas) and response headers (e.g., Retry-After) are documented.","Rate limits are enforced, but specific quotas and throttling behaviors are not documented.","Rate limits are undocumented, causing unhandled HTTP 429 throttling errors in automated pipelines.","No API is provided, or API has no rate limits / operates on local offline instances.",Accessible,Structural,Data Access,Delivery Options,dataset/distribution/online,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,SR: This term needed further definition according to feedback doc
Open and Non-Proprietary Formats,"Dataset is distributed in open, non-proprietary formats that do not require licensed commercial software to read.","All files adhere to open community standards (e.g., CSV, GeoTIFF, netCDF, JSON, PNG, Parquet).","Primary data is open, but accompanying models or metadata require proprietary commercial extensions (e.g., ESRI GDB, MAT-files).","Data files are packaged exclusively in closed, proprietary software formats.",Never NA (applies to all datasets).,Accessible | Interoperable,Structural | Provenance,Data Access,Format Accessibility,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,
Multi-Format Distribution,"Dataset provides alternative distribution formats optimized for diverse use cases (e.g., CSV for inspection, Parquet/Zarr for AI).","Dataset is published in multiple complementary formats (e.g., human-readable CSV and high-performance Parquet/Zarr).","Dataset is available in only a single format, but the format is widely supported.",Dataset is restricted to a single rigid format that limits either human inspection or AI ingestion.,"Dataset represents specialized binary media (e.g., raw video) where a single standard container is standard.",Accessible,Structural,Data Access,Format Accessibility,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution,cr:FileObject/sc:encodingFormat,croissant-native,
Machine-Readable Serialization,"Dataset is serialized in structured, machine-parseable data formats rather than presentation-focused layouts.","All tabular, tensor, and spatial data are serialized in machine-readable formats (e.g., Parquet, Feather, JSON, HDF5).","Data is structured, but provided in presentation formats (e.g., styled Excel tables, PDFs) requiring OCR or manual parsing.",Data is distributed exclusively as unstructured images of tables or unstructured text dumps.,Never NA (core requirement for AI readiness).,Interoperable | Accessible,Structural,Data Access,Format Accessibility,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,
Study Design Typology,"Dataset metadata classifies the study design type, e.g., whether observations originate from manipulative experimental setups or observational field surveys, or some other study design type.","Study design type (e.g., randomized controlled experiment, observational census, opportunistic telemetry) is documented in structured metadata.",Study design is described in narrative methods but not classified into standardized experimental/observational categories.,Study origin and experimental status are unspecified.,Never NA (applies to all ecological datasets).,Reusable,Scientific,Guidance and Recommendations,Experimental Design,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"proposed definition generated by Claude


If selection/collection was driven by an experiment (this may drive selection bias or limitations)"
Experimental Factor Specification,"Dataset documentation details experimental factors, treatment levels, control structures, and replication design.","All treatments, control blocks, replication levels, and randomization procedures are systematically documented.","Treatments are named, but control baselines, blocking factors, or replication counts are incomplete.",Manipulative experimental dataset lacks detailed treatment definitions and design architecture.,"Dataset originates from non-manipulative, observational field surveys.",Reusable,Scientific,Guidance and Recommendations,Experimental Design,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"proposed definition generated by Claude


description of the experimental setup"
Data Modality and Origin Type,"Dataset metadata classifies the operational modality and collection origin (e.g., sensor telemetry, satellite, field survey, API).","Origin modality is explicitly categorized using controlled vocabulary terms (e.g., remote sensing, bioacoustics, camera trap).",Origin type is mentioned in narrative text without controlled taxonomy classification.,Origin modality and collection mechanism are unspecified.,Never NA (applies to all datasets).,Reusable,Structural | Provenance,Source Data,Collection,dataset/methods/sampling,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,croissant-partial,This could get confusing because dataType is an important field in Croissant for defining field data types
Observation Temporal Extent,Dataset metadata specifies the precise date or date range during which field observations or raw measurements were collected.,"Start and end dates/timestamps are structured in ISO 8601 format (e.g., YYYY-MM-DD or interval) in temporal metadata.","Temporal coverage is mentioned informally (e.g., 'summer 2021') without machine-readable ISO 8601 formatting.",No field collection dates or temporal bounding periods are documented.,Dataset is purely synthetic or algorithmic with no temporal observation anchor.,Findable | Reusable,Scientific | Provenance,General Information,Standard Metadata,dataset/coverage/temporalCoverage,"dates/date[@dateType=""Collected""]",sc:temporalCoverage,sc:temporalCoverage,croissant-native,"Should this be created or published? SR: this term was flagged as ambiguous in the feedback document
This gets at a versioning concern: ongoing curation, e.g., GBIF snapshots or NEON collections. Would need download date (especially for data that is constantly updated) and release/version date (""creation"" takes time)

Use-case: For purposes of initial browsing, value judgment of use -- collection date would be most meaningful (over digitization or publication date) for an ecologist
Could be collection date range (or observation dates)"
Observation Timestamp Precision,Dataset documents timestamps (including UTC offset) for every individual observation event.,"Every record contains a complete, validated ISO 8601 timestamp with explicit UTC timezone offset (e.g., 2024-05-12T14:30:00Z).","Timestamps are provided in local time without timezone/UTC offset, or use inconsistent datetime string formats.",Observations lack timestamps or only record unanchored time strings.,Dataset contains static morphological or synthetic data with no temporal collection event.,Findable | Reusable,Scientific | Provenance | Governance,Governance,Collection,dataset/coverage/temporalCoverage,"dates/date[@dateType=""Collected""]",sc:temporalCoverage,sc:temporalCoverage,croissant-native,"proposed definition generated by Claude


From IEEE CARE: When the tangible object, material, or resource, or the intangible knowledges or information was collected. "
Operational Event Logging and Context,"Dataset captures messages, operations, actors, preferences, and context that led to a given data point (CARE provenance). Ref: IEEE CARE","Fine-grained event logs (e.g., camera trigger delay, drone waypoint action, observer calibration) are recorded with timestamps.","General operational steps are described, but per-event execution logs and exact action timestamps are missing.",No operational context or observer action logs are recorded for individual observation events.,"Observational protocol consists of passive, single-instant records with no intermediate operational actions.",Reusable,Provenance | Governance,Governance,Collection,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->extension,"From IEEE CARE: Messages, operations, actors, preferences, and context that led to that piece of data. "
Sensor and Instrument Metadata,"Dataset provides detailed instrument calibrations, hardware specifications, and sensor firmware metadata.","Sensor make, model, serial number, calibration parameters, and settings are documented or linked via sensor standards.","General sensor type is mentioned (e.g., 'camera trap') without specific model numbers, lens specs, or calibration info.",Sensor-derived dataset provides no hardware specifications or instrument metadata.,Dataset was generated through human manual observation or non-sensor collection methods.,Reusable,Structural | Scientific,Source Data,Instrumentation,dataset/methods/methodStep/instrumentation,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"Should link to a sensor-based extension (e.g, fair_drones)"
Quantitative Resolution Metrics,"Dataset specifies quantitative spatial, temporal, radiometric, or spectral resolutions (e.g., GSD, sampling rate).","Precise numerical resolution metrics with standard physical units (e.g., 0.5 m GSD, 44.1 kHz, 15-min interval) are structured.","Resolution is described qualitatively (e.g., 'high resolution') without numerical values and units.",Quantitative resolution metrics are absent.,"Data have no continuous spatial, temporal, or spectral dimensions.",Reusable,Structural | Scientific,Source Data,Methods,dataset/methods/sampling,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"proposed definition generated by Claude


If this is to describe the original source of a (this) derived dataset, then the source identified in Provenance should have adequate metadata that shouldn't need to be repeated here."
Specimen and Sample Preparation,"Dataset documents physical sample preparation, preservation techniques, or laboratory extraction protocols.","Standardized laboratory and specimen preparation protocols (e.g., ethanol preservation, PCR protocol, pinning) are fully detailed.",Preparation methods are noted briefly without step-by-step protocols or standard methodology references.,Physical specimen or wet-lab extraction preparation steps are omitted.,Dataset involves in-situ digital sensors or non-invasive field observations with no physical sample processing.,Reusable,Scientific,Source Data,Preparation,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,[Claude Code inferred: items = Preparation (was blank)] [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
