position,section,group_title,item_id,question_id,title,description,question_type,required,options,validation
53,Source Data,,16748ebc,0e51b058,Methods (Collection Method Documentation): Describe the methods used to collect or generate the data.,"You may include: Field, laboratory, computational, or remote‑sensing protocols SOPs, manuals, workflow documents Genetic, acoustic, imaging, trait measurement, or phylogenetic inference procedures Links (URL/DOI) to method documentation Deviations or customizations compared to standard methods",textQuestion,True,,
54,Source Data,,00208cce,1195a516,Methods (Spatial Resolution): Select all that apply,,choiceQuestion,True,Point location (single coordinates) | Plot/transect/area-based | Grid-based | Pixel-based (remote sensing) | Voxel/3D resolution (LiDAR) | Not spatially explicit,
55,Source Data,,460dba21,3eedee7e,"Methods (Spatial Extent): Description of geographic coverage (region, bounding box, domain)",,textQuestion,True,,
56,Source Data,,2adc378f,45aa1db2,Methods (Temporal Resolution): Select all that apply,,choiceQuestion,True,"Instantaneous / event-based | High-frequency (sub-second, acoustics, accelerometers) | Hourly, daily, weekly, monthly, seasonal | Annual | Continuous / streaming | Not time-explicit",
57,Source Data,,22bc6730,63d0f89a,Methods (Temporal Extent):,"Start date End date (or leave blank if ongoing) Optional description (e.g., “seasonal sampling 2010–2024”)",textQuestion,True,,
58,Source Data,,1f35035f,,Preparation,,textItem,False,,
59,Source Data,,75bd1e6c,74871a10,"Preparation: Describe any data preparation, cleaning, transformation, or quality-control steps performed prior to generating the final dataset.","Include as relevant: Filtering, trimming, or excluding records Merging or harmonizing multiple data sources Manual corrections or expert verification Gap filling, imputation, normalization Feature engineering or deriving new variables Conversion of raw formats (e.g., raw sensor → - calibrated values) Acoustic filtering, image preprocessing, sequence cleaning, trait standardization Software tools, scripts, or pipelines used (with links if available)",textQuestion,True,,
60,Data Processing,,1d00f324,,Data Processing,"Correction/Standardization of values, Gaps filled, Labeling/re-labeling, Outlier removal, Splits",SECTION_BREAK,False,,
61,Data Processing,,6717e31d,,Correction / Standardization of Values,"Describe corrections applied to existing data values, and whether the data values have been standardized in any way.",textItem,False,,
62,Data Processing,,421e1707,6b36fb05,Were any of the following standardization or correction steps applied to the dataset?,,choiceQuestion,False,"Data gridding (e.g., interpolation) | Unit consistency (e.g., all in metric) | Data anonymization (removing personal IDs) | Standardizing categorical codes | Standardizing image dimensions/color spaces",
63,Data Processing,,181e29ab,,Gaps Filled,Describe whether and how gapfilling procedures have been used to replace missing or removed values in the data.,textItem,False,,
64,Data Processing,,27c076fb,6e509e92,Were missing values or data gaps filled in the dataset?,,choiceQuestion,False,Yes | No | Not applicable,
65,Data Processing,,5a9b31ef,0706af8a,"If gaps were filled, describe the method(s) used.","Include interpolation, imputation, or model-based gap-filling approaches.",textQuestion,False,,
66,Data Processing,,2e790543,,Labeling / Relabeling,Describe any labels or annotations applied to entities in the dataset and the methods used to apply them.,textItem,False,,
67,Data Processing,,7584a3c9,31d7332c,Were any labeling or relabeling steps applied to the dataset?,,choiceQuestion,True,Yes – primary labeling applied | Yes – relabeling/standardization applied | No | Not applicable,
68,Data Processing,,1bb7f588,2e73c061,"If labeling or relabeling was performed, describe the process.","Include label sources, standardization methods, and alignment with external taxonomies or ontologies.",textQuestion,False,,
69,Data Processing,,1cfda160,,Data Filtering and Outlier Removal,"Describe any removals of erroneous or unwanted data values, and how outlier data values were identified and removed.",textItem,False,,
70,Data Processing,,6f369792,45c7a43c,Were any outlier removal or filtering procedures applied to the dataset?,,choiceQuestion,True,Yes | No | Not applicable,
71,Data Processing,,777e8b0d,1a5b77de,"If yes, describe the outlier detection and removal methods used.","Include statistical thresholds, manual review, or algorithmic approaches for outlier removal.",textQuestion,False,,
72,Data Processing,,3b832773,,Splits,"Datasets are often split into training, validation, and/or test subsets. Describe whether and how this was done.",textItem,False,,
73,Data Processing,,384d2f61,23787fcc,"Has the dataset been split into training, validation, and/or test sets?",,choiceQuestion,True,Yes – predefined splits provided | No – users define their own splits | Not applicable,
74,Data Processing,,4d4ad079,52020c13,"If splits are provided, describe how they were created.","Include whether splits were random, stratified, temporal, their proportions, and how data leakage was avoided.",textQuestion,False,,
75,Data Quality,,236b989e,,Data Quality,"Completeness, Consistency, Integrity, Timeliness",SECTION_BREAK,False,,
76,Data Quality,,71058b45,,Completeness,"The breadth of a dataset compared to an ideal 100% completion (spatial, temporal, demographic, etc.); important in avoiding bias",textItem,False,,
77,Data Quality,,4f9cf2e9,1b82420b,"Is this dataset complete (i.e., there are no plans for further updates to this data product)?",,choiceQuestion,True,Yes | No | In progress | Regularly updated,
78,Data Quality,,052b00c7,4e98e903,Have quality assurance checks been run and have they passed?,,choiceQuestion,True,"Yes, and all passed. | Yes, but not all passed. | No (chance to explain next)",
79,Data Quality,,51b2da37,235b4cc0,What data processing steps have been completed?,,textQuestion,True,,
80,Data Quality,,6bbae4d8,,Data Quality: Timeliness,"the speed of data release, compared to when an event occurred or measurements were made; requirements will vary depending on the timeframe of the phenomenon (e.g., severe thunderstorms vs. climate change, or disease outbreaks vs. life expectancy trends)",textItem,False,,
81,Data Quality,,25672dcb,0e095323,This dataset is ...,,choiceQuestion,True,updated in real-time (raw) | Quality-controlled (processed),
82,Data Quality,,5759a3e3,,Quality Assurance Issues,This should also be documented under Guidance and Recommendations.,textItem,False,,
83,Data Quality,,1f01c39e,1abfe8d0,Please describe the quality checks that have failed and provide context for downstream users to work with the data as-is or resolve the issues.,,textQuestion,True,,
84,Data Quality,,4973d2e1,,Quality Assurance checks not performed,This should also be documented under Guidance and Recommendations.,textItem,False,,
85,Data Quality,,1b029b15,04b6a670,Please explain why quality checks were not performed and provide context for downstream users to work with the data as-is or resolve potential issues.,,textQuestion,False,,
86,Data Quality,,25e4f9fa,48a96148,Describe any known gaps or limitations in the dataset’s completeness.,"Include known spatial, temporal, or content gaps and their potential impact.",textQuestion,False,,
87,Data Quality,,2c771e32,,Data Quality: Consistency,"uniformity within the entire dataset or compared with similar data collections; for example, no changes in units or data types over time; item measured against itself or its counterpart in another dataset or database",textItem,False,,
88,Data Quality,,36ecf472,1b7e379a,Have all units been translated into compatible forms?,,choiceQuestion,True,Yes | No | Units are documented for compatibility | Script is provided to standardize | No units requiring standardization,
89,Data Quality,,5b507a9f,0f8eae73,Do data follow a controlled vocabulary?,,choiceQuestion,True,Yes | No,
90,Data Quality,,63276b18,321bc8e3,Provide a reference to the controlled vocabulary used.,,textQuestion,False,,
91,Data Quality,,6165b34d,27254ec6,Describe any known consistency issues or steps taken to ensure consistency.,Include examples of standardization and any remaining inconsistencies.,textQuestion,False,,
92,Data Quality,,00f0c0ba,,Data Quality: Integrity,verification that the data remains unchanged from the original; aka data fixity,textItem,False,,
93,Data Quality,,3abc8f25,7058f62b,Have any quality assurance or peer review procedures been applied to the dataset?,,choiceQuestion,True,Internal quality control | External peer review | Automated validation scripts | Manual data checks | None,
94,Data Quality,,54f5bb88,6a5b3797,Describe the procedures used to ensure data integrity.,"Include use of checksums, version control, or audit trails to ensure data remains unchanged.",textQuestion,False,,
95,Data Quality,,29e4dd0e,,Timeliness,,textItem,False,,
96,Data Quality,,3c2d3579,136514a0,What is the timeliness of the data?,,choiceQuestion,True,Real-time or near real-time | Periodically updated | Static (not updated) | Historical archive,
97,Data Quality,,61ead5d8,711858a6,Describe the time lag between data collection and availability.,"E.g., 'published within 24 hours of collection' or 'released annually'.",textQuestion,True,,
98,Guidance and Recommendations,,421c1568,,Guidance and Recommendations,"Bias, Experimental Design, Usage Recommendations",SECTION_BREAK,False,,
99,Guidance and Recommendations,,7cd28e37,,Bias,Describe any potential sources of bias in the dataset.,textItem,False,,
100,Guidance and Recommendations,,15400a0d,72a9a24f,Are there known sources of bias in the dataset?,,choiceQuestion,True,Sampling bias | Instrumentation bias | Observer bias | Processing bias | No known bias,
101,Guidance and Recommendations,,2571049a,7fc3d2d5,Describe any known risks or limitations associated with the dataset.,"Include limitations in scope, accuracy, representativeness, or potential misuse.",textQuestion,False,,
102,Guidance and Recommendations,,27920f52,,Experimental Design,,textItem,False,,
103,Guidance and Recommendations,,7b17b069,70b86f39,Is the dataset based on experimental data?,,choiceQuestion,True,Yes | No | Not sure,
104,Guidance and Recommendations,,248f3df3,0fabad51,"If yes, describe the experimental design.","Include information about treatments, controls, replication, randomization, etc.",textQuestion,False,,
105,Guidance and Recommendations,,7f9f8d70,,Usage Recommendations,,textItem,False,,
106,Guidance and Recommendations,,720dce12,007488c7,What are the recommended or intended uses of this dataset?,"Include types of analyses, models, or applications this dataset is suited for.",textQuestion,True,,
107,Guidance and Recommendations,,1d7033a7,03e52c1c,Are there any known inappropriate or discouraged uses of this dataset?,Include contexts where the dataset may be misleading or ethically problematic.,textQuestion,False,,
108,Guidance and Recommendations,,613e22a8,239f2478,Has this dataset been used in AI/ML applications previously?,,choiceQuestion,True,Yes | No | Not sure,
109,Guidance and Recommendations,,653ddd24,5d683d40,"If yes, describe how the dataset has been used in AI/ML applications.","Include references to models, benchmarks, or publications if available.",textQuestion,False,,
110,Guidance and Recommendations,,75c09c64,2764e0d6,"Include references to models, benchmarks, or publications if available.","Include documentation, licensing considerations, or community standards to follow.",textQuestion,False,,
111,Guidance and Recommendations,,0759fd75,1a2f5bdc,How should users report issues or errors in the dataset?,"Provide contact email, issue tracker link, or other method for reporting problems.",textQuestion,True,,
112,Data Access,,5df3ebb1,,Data Access,"Delivery Options, Format Accessibility (open, proprietary, etc.), License/Usage Rights, Security/Privacy",SECTION_BREAK,False,,
113,Data Access,,0a4485ef,,Delivery Options,,textItem,False,,
114,Data Access,,45c48057,1f9e238e,Is the dataset available for direct download?,,choiceQuestion,True,Yes | No | Not sure,
115,Data Access,,67edb5f6,1505b904,Is the dataset accessible via an API?,,choiceQuestion,True,Yes | No | Not sure,
116,Data Access,,1806aa3f,647b346d,"If accessible via API, what type of API is provided?","E.g., REST, GraphQL, OPeNDAP",textQuestion,False,,
117,Data Access,,66bd5e87,5ed5b27a,Is the dataset accessible via a cloud platform?,,choiceQuestion,True,Yes | No | Not sure,
118,Data Access,,1c523cc3,,Format Accessibility,,textItem,False,,
119,Data Access,,1af82498,2a417107,Is the dataset provided in a machine-readable format?,,choiceQuestion,True,Yes | No | Not sure,
120,Data Access,,3a969136,027009a9,Is the dataset provided in an open (non-proprietary) format?,,choiceQuestion,True,Yes | No | Not sure,
121,Data Access,,2b4f6078,510972b2,Is the dataset available in multiple formats?,,choiceQuestion,True,Yes | No | Not sure,
122,Data Access,,6cec68ba,,License / Usage Rights,,textItem,False,,
123,Data Access,,2d7c8125,06d2fe9e,What license applies to this dataset?,Provide full name or URL of the license,textQuestion,True,,
124,Data Access,,5b806c6a,6531041d,Is the license information provided in a standardized or machine-readable format?,,choiceQuestion,True,Yes | No | Not sure,
125,Data Access,,22e6c952,,Security / Privacy,,textItem,False,,
126,Data Access,,4a2bbe6d,383e4acf,Does the dataset contain personal or sensitive information?,,choiceQuestion,True,Yes | No | Not sure,
127,Data Access,,6ca9508b,4492c65e,Is access to the dataset restricted in any way?,,choiceQuestion,True,Yes | No | Not sure,
128,Data Access,,1f1e339c,2e986d04,Is secure access required to obtain or use the dataset?,,choiceQuestion,True,Yes | No | Not sure,
129,Provenance,,53f40a3b,,Provenance,,SECTION_BREAK,False,,
130,Provenance,,78e99f16,,"Citation for ""this dataset""",How should this dataset be referenced or cited by others using it in their work?,textItem,False,,
131,Provenance,,334ca037,138592e2,Author and Author ORCID,,textQuestion,True,,
132,Provenance,,247973ec,77999ba2,Curators (list all curators),,textQuestion,True,,
133,Provenance,,28ce3cbe,2965286a,Dataset Card Author(s) (who is providing the description of the dataset?),,textQuestion,True,,
134,Provenance,,69e6cfdf,5017bea5,Dataset Card Contact or Expert Contact (who to contact with questions),,textQuestion,True,,
135,Provenance,,296fb2be,47e7fb1e,"Data Citation (provide the full citation to be used, preferable to include Bibtex format)",,textQuestion,True,,
136,Provenance,,527956f5,1d4a2d66,Is this dataset derived from other sources?,,choiceQuestion,True,Yes | No,
137,Provenance: Derived Dataset?,,672a1fb8,,Provenance: Derived Dataset?,These are questions to answer if the dataset is derived from existing data.,SECTION_BREAK,False,,
138,Provenance: Derived Dataset?,,43a092fd,11be1262,"Provenance Tracking: Provide information about the source data from which this dataset was derived (e.g., titles, summaries, and links)",,textQuestion,True,,
139,Provenance: Derived Dataset?,,4a058913,2749e6d3,Source Data Producers (who created the source data?),,textQuestion,True,,
140,Provenance: Derived Dataset?,,12115b31,5fb64950,Citation of subsumed datasets (cite your sources),,textQuestion,True,,
141,Provenance: Derived Dataset?,,0f3eea0a,02f5abd4,Source data DOI (permalink for the sources),,textQuestion,True,,
142,Provenance: Derived Dataset?,,45eaf711,110bead3,"Source data checksums: Provide completeness/component confirmation, e.g., checksum for a zip file or a list of image checksums to ensure downstream users can get the same data you did (sum-buddy can help with this if not provided by the source).",,textQuestion,True,,
143,Identifier,,2004ca33,,Identifier,"Does the dataset have a unique, persistent, machine-resolveable identifier? Note that the checksums requested might be included in a file, such as a CSV, alongside the unique identifiers for your data points.",SECTION_BREAK,False,,
144,Identifier,,6e96573f,4eaa8d63,DOI (of this dataset),,textQuestion,True,,
145,Identifier,,6070bce3,621f2481,"Checksums: Provide completeness/component confirmation, e.g., checksum for a zip file or a list of image checksums to ensure downstream users get the expected data (sum-buddy can help with this).",,textQuestion,True,,
146,Processing Platform or Software,,21e85897,,Processing Platform or Software,,SECTION_BREAK,False,,
147,Processing Platform or Software,,4f8c7273,0f92d2b5,Describe any processing platform or software used in the creation of this dataset.,,textQuestion,True,,
148,Processing Platform or Software,,1483b655,709a9e1d,Provide links to any software created for or used in the creation of the dataset.,,textQuestion,True,,
149,Other,,2f629660,,Other,Is there other information that was not collected in earlier sections?,SECTION_BREAK,False,,
150,Other,,6246195e,0339ad87,,,textQuestion,True,,
