Item,Proposed definition,Criteria: Structural/Scientific/Provenance,Broad categories,Sub category,Note,"Required (core, auto, or recommended)",Use-case scope (Condition),use case,Applies-at-level,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,FAIR4AI category
Repository (IO),URL of repository used for dataset curation/processing,structural,General Information,References,"Ex: for TreeOfLife-200M, has repository (TreeOfLife-toolbox)",core,All - programmatic/ML use,,dataset,dataset/publisher,"relatedIdentifiers/relatedIdentifier[@relationType=""IsSupplementedBy""]",sc:url,cr:FileObject/sc:contentUrl,croissant-partial,Findable
Example Code (can be pointer to repo),"Runnable code or commands showing how to load, install, or transform the dataset. Ref: DataCite relatedIdentifier[IsSupplementedBy]. No native schema.org/Croissant term.",structural,General Information,References,"proposed definition generated by Claude

Could be install, access, on HF often `load_dataset`, but may be a data transformation",core,All - programmatic/ML use,,dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""IsSupplementedBy""]",,,croissant-partial,Reusable
Paper (IO),"Canonical publication describing the data (e.g., dataset descriptor). there should only be one",Provenance/Scientific,General Information,References,"Ex: Paper for TreeOfLife-200M:
BioCLIP 2: Emergent Properties from Scaling Hierarchical Contrastive Learning",core,If published,,dataset,dataset/literatureCited,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDescribedBy""]",sc:citation,sc:citation,croissant-native,Findable | Reusable
Data Source,List of constituent sources or Original Data,Provenance/Scientific,General Information,References,"Ex: derived data or original source
- TOL-200M is made of GBIF, EOL, FathomNet, and BIOSCAN-5M
- NEON data is original source",core,All use cases,"TOL-200M is made of multiple datasets, this is a key in HF for easy linking to those sources for provenance",dataset,,,,,,Reusable
Related dataset (IO),"Another dataset related to this one (e.g., a parent collection or a dataset this is part of), linked by identifier. Ref: schema.org sc:isPartOf; Croissant sc:isPartOf; DataCite relatedIdentifier[References].",Provenance/Scientific,General Information,References,"proposed definition generated by Claude

e.g., derived from or uses",auto,All use cases,knowledge web/ontology - should be auto-generated as datasets using/building on the data compared to the original source,dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""References""]",sc:isPartOf,sc:isPartOf,croissant-native,Findable
Related paper (cited by?) (IO),A publication that cites or uses this dataset (distinct from the paper that describes it). Ref: DataCite relatedIdentifier[IsCitedBy]; schema.org sc:citation.,,General Information,References,"proposed definition generated by Claude

This also has a HF key linkage on the side panel, though I'm not sure that's where this originally came from",auto,All use cases,"knowledge web/ontology - should be auto-generated as papers citing the data compared to one describing it (e.g., dataset descriptor)",dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""IsCitedBy""]",,,croissant-partial,Findable
creators,Who made this product (derived datasets have questions later),Provenance,General Information,Standard Metadata,"SR: this term was flagged as ambiguous in the feedback document Ex: TreeOfLife-200M, Curated by:
Jianyang Gu, Samuel Stevens, Elizabeth G. Campolongo, Matthew J. Thompson, Net Zhang, Jiaman Wu, Andrei Kopanev, and Alexander E. White
",core,All use cases,,dataset,dataset/creator,creators/creator,sc:creator,sc:creator,croissant-partial,Reusable
title (or pretty name (IO)),"The human-readable name of the dataset, distinct from a repository slug (account/repo-name). Ex: ""KABR Raw Videos"" instead of ""Imageomics/KABR-raw-videos"". Ref: schema.org sc:name; EML dataset/title; DataCite titles/title.",Provenance,General Information,Standard Metadata,"proposed definition generated by Claude

Ex: 2018 NEON Ethanol-preserved Ground Beetles, different from repo name (2018-NEON-beetles)",core,All use cases,,dataset,dataset/title,titles/title,sc:name,sc:name,croissant-native,Findable
summary/abstract,Croissant: description,Scientific,General Information,Standard Metadata,,core,All use cases,"Needed, but maybe not for initial browsing?",dataset,dataset/abstract,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,croissant-native,Findable
date created observed in the field,Collection/observation date (might be range or sampling period) of the source.,Provenance/scientific,General Information,Standard Metadata,"Should this be created or published? SR: this term was flagged as ambiguous in the feedback document
This gets at a versioning concern: ongoing curation, e.g., GBIF snapshots or NEON collections. Would need download date (especially for data that is constantly updated) and release/version date (""creation"" takes time)",core,All use cases,"For purposes of initial browsing, value judgment of use -- collection date would be most meaningful (over digitization or publication date) for an ecologist
Could be collection date range (or observation dates)",dataset; event,dataset/pubDate,"dates/date[@dateType=""Created""]",sc:dateCreated,sc:dateCreated,croissant-partial,Findable | Reusable
publisher,"Site on which the dataset is published (e.g., Hugging Face or Zenodo). From the first pass perspective, this provides context for what more detailed questions and how they can be asked.","Provenance/Structural (e.g., HF explains access)",General Information,Standard Metadata,"Publisher = e.g., HF or Zenodo? SR: this term was flagged as ambiguous in the feedback document especially for existing resources
EC: schema.org definition is ambiguous to me too--good question to the group",core,All use cases,"General where is it, need to know for API/what deeper questions can be asked (from the first pass perspective)",dataset,dataset/publisher,publisher,sc:publisher,sc:publisher,croissant-native,Findable | Accessible
file format,"file type(s): PDF, PNG, JPG, tar, etc.",Structural,Data structure,Data format,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)],core,All use cases,,dataset,dataset/[entityType]/physical/distribution/dataFormat/[textFormat | externallyDefinedFormat | binaryRasterFormat],formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,Interoperable | Accessible
dataset structure/format,How is the dataset structured (this could be a file tree or description of the collection of files in a flat directory),Structural,Data structure,Data format,,recommended,All use cases,,dataset,dataset/[entityType]/physical/distribution/dataFormat/[textFormat | externallyDefinedFormat | binaryRasterFormat],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:encodingFormat,cr:RecordSet,croissant-native,Interoperable
"data instances (file descriptions, e.g., shards)","per-file descriptions (e.g., list of CSVs describing what each contains)",Structural,Data structure,Data format,SR: I had trouble finding a good match for this one,recommended,All use cases,,dataset; media-annotation,dataset/[entityType],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution,cr:FileObject; cr:FileSet,croissant-native,Interoperable
Data organization,"How records, files, and assets are organized and relate to one another (tabular tables, image directories, sharded archives). Ref: Croissant cr:RecordSet / cr:FileObject / cr:FileSet; schema.org sc:distribution.",Structural,Data structure,Data organization,"Potential duplicate of dataset structure/format

proposed definition generated by Claude

",recommended,All use cases,,dataset; media-annotation,dataset/[entityType],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution,cr:RecordSet; cr:FileObject; cr:FileSet,croissant-native,Interoperable
Features,EML attributes,Structural/Scientific,Data structure,Features ,"e.g., metadata columns (taxonomy, age, location, etc.) [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]",core,All use cases,,occurrence,dataset/[entityType]/attributeList/attribute,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:RecordSet/cr:field,croissant-native,Interoperable | AI-ready
Technical specs,"Size of files or subsets (e.g., train/test splits, group vs individual specimen images), size of overall dataset",Structural,Data structure,Technical specs,,recommended,All - esp. large-scale/sharded,,dataset,dataset/[entityType]/physical/size,sizes/size,sc:distribution/sc:contentSize,cr:FileObject/sc:contentSize,croissant-native,Interoperable
collection date or date range,Date (or date range in which) the data was collected,Scientific/Structural,Source Data,collection,"Should we put download date here too as option if derived?? Should both be moved to derived data? GM:  If this is to describe the original source of a (this) derived dataset, then the source identified in Provenance should have adequate metadata that shouldn't need to be repeated here.",core,All - esp. Time-series & Supervised-ML splits,,event,,,,,croissant-partial,Reusable
Data Source Type,"origins from which data is collected, processed, and used for analysis or reporting - e.g., databases, APIs, flat files, streaming data, rss feeds, social media, web scraping",Structural/Provenance,Source Data,collection,"This could get confusing because dataType is an important field in Croissant for defining field data types
",core,All - esp. Derived & API-harvested,,dataset; event,dataset/methods/sampling,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,croissant-partial,Reusable
Source Data / Data Source,"the specific data source, URL, other identifier -- specifically linkage to the source",Provenance,Source Data,collection,GM: I believe this would be provided in the Provenance DOI item,core,Derived/compiled datasets,,dataset; event,dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-partial,Reusable
Curation Rationale,Why was this dataset created,Scientific/Provenance,Source Data,collection,,recommended,All use cases,,dataset; event,dataset/purpose,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,oos->EML,Reusable
Part of larger collection?,Is this part of some larger collection,Provenance/Scientific,Source Data,collection,"Ex: KABR or SmartWilds datasets; multiple datasets part of the same or related collection effort, designed to be complementary/combined",recommended,All use cases,,dataset; event,dataset/project;dataset/series,"relatedIdentifiers/relatedIdentifier[@relationType=""IsPartOf""]",sc:isPartOf,sc:isPartOf,croissant-partial,Findable
Sensor Metadata (link),"contextual data that describes how, when, and where sensor data was collected",Scientific/Structural,Source Data,instrumentation,"Should link to a sensor-based extension (e.g, fair_drones)",core,"Sensor/instrument (camera trap, drone, bioacoustics, telemetry, remote sensing)",,media-annotation; event,dataset/methods/methodStep/instrumentation,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,Reusable | AI-ready
resolution information (quant...),"Quantitative spatial, temporal, or measurement resolution of the data (e.g., pixel size / GSD, sampling interval). Ref: EML dataset/methods/sampling; schema.org sc:measurementTechnique.",Scientific/Structural,Source Data,methods,"proposed definition generated by Claude


If this is to describe the original source of a (this) derived dataset, then the source identified in Provenance should have adequate metadata that shouldn't need to be repeated here.",core,Sensor/instrument; Image/Audio/Video; Spatial/remote-sensing,,event,dataset/methods/sampling,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,AI-ready | Reusable
Preparation,,Scientific,Source Data,preparation,[Claude Code inferred: items = Preparation (was blank)] [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)],,All use cases,,dataset; event,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,Reusable
Data Gridding,Data gridding refers to two entirely distinct concepts: geospatial/scientific interpolation (converting scattered measurements into continuous surfaces) and software engineering (using distributed systems or UI tables to process and display massive datasets),Structural/Scientific,Data Processing,Correction/standardization of values,GM: it sounds like the first concept here fits within the gapfilling method category below ,core,Spatial/remote-sensing; gridded products,,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,Reusable
Unit Consistency,"Indicate whether data values are provided in community-accepted units for all variables, and whether these units are described in the metadata.",Structural/Scientific,Data Processing,Correction/standardization of values,GM: See below. There is a redundant units category under Data Quality.,core,Tabular; quantitative measurements,,occurrence,dataset/dataTable/attributeList/attribute/unit,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured/sc:unitCode,cr:field/cr:dataType,oos->EML,Interoperable | Reusable
Data Anonymization,"For social science or human biological datasets, have the data been anonymized to remove any personally identifiable indicators? ",Structural/Scientific,Data Processing,Correction/standardization of values,,core,Human/sensitive data,,occurrence,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",,,oos->extension,Reusable
Have null values/gaps been filled? (ESIP),Indicate whether missing data values have been filled.,Structural/Scientific,Data Processing,Gaps filled,,core,Time-series; continuous/gridded,,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,AI-ready
Is the gapfilling method described?,"If data are gapfilled, indicate the method used (interpolation, compositing, sensor substitution, model-based, etc.)",Structural/Scientific,Data Processing,Gaps filled,,core,Time-series; continuous/gridded,,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,AI-ready
Labeling/re-labeling,"Indicate whether the data are labeled, and if so what features, entities, or concepts were labeled.",Scientific,Data Processing,Labeling/re-labeling,"GM: Someone with more knowledge of labeling for AI/ML should probably help with this definition.
Ex: Taxonomic labels were standardized using TaxonoPy to create an internally consistent taxonomy based on the source data labels",core,Supervised-ML; annotated/labeled data,,occurrence; media-annotation,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,cr:RecordSet/cr:field,oos->EML,AI-ready
Outlier removal,Indicate whether outliers have been removed from the data and how.,Scientific/Structural,Data Processing,Outlier removal,,core,Tabular; quantitative measurements,,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,Reusable
Splits,Are there train/val/test splits and how are they defined,Structural/Scientific,Data Processing,Splits,,core,Supervised-ML (train/val/test),,media-annotation,dataset/methods/sampling,"descriptions/description[@descriptionType=""Methods""]",sc:hasPart,cr:RecordSet/cr:split,croissant-partial,AI-ready
is it finished? does it have all expected information?,"Indicate whether the dataset is complete. If true, all expected values or observations are present. If false, new data will be added in the future.",Structural/Scientific,Data Quality,Completeness,,recommended,All use cases,,dataset,dataset/maintenance,"descriptions/description[@descriptionType=""Other""]",,,oos->EML,Reusable
have all required quality checks been completed?,"Level of quality control applied to the dataset, as a categorical data-maturity scale (replaces the earlier ambiguous complete/incomplete boolean): 'raw' (no QA/QC applied), 'minimally-quality-controlled' (partial checks), or 'fully-quality-controlled' (complete QA/QC protocol applied). Ref: EML dataset/methods/qualityControl.",Structural,Data Quality,Completeness,"GM: Ambiguous, perhaps this could be a categorical for ""raw"" data or ""quality-controlled"" data.",core,All - esp. quality-controlled products,,dataset,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Other""]",,,oos->EML,Reusable
controlled vocabulary,Indicate whether categorical variables are populated with terms from a controlled vocabulary.,Scientific/Structural,Data Quality,Consistency,Ex: taxonomy used,recommended,All - esp. categorical/taxonomic data,,occurrence,dataset/dataTable/attributeList/attribute/annotation,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:field/cr:isEnumeration,croissant-partial,Interoperable
peer review,Have the data been reviewed by a peer researcher or a data curator?,Scientific/Provenance,Data Quality,Integrity,,core,All - curated/published data,,dataset,,"descriptions/description[@descriptionType=""Other""]",,,oos->EML,Reusable
timeliness of data?,Frequency with which new data will be added.,Scientific/Structural,Data Quality,Timeliness,Would only apply if row 49 is True?,core,Time-series; versioned/streaming,,dataset,dataset/maintenance,"dates/date[@dateType=""Updated""]",sc:temporalCoverage,sc:temporalCoverage,oos->EML,Reusable
Bias,"Known biases in how the data were selected or collected, provided as an ENUMERATED LIST (not free text): each entry gives a bias type from the controlled vocabulary plus a severity. Ref: EML dataset/introduction; DataCite description[Other]; structured-bias extension candidate.",Scientific,Guidance & Recommendations,Bias,"proposed definition generated by Claude


e.g., collection or selection bias",recommended,All use cases,,dataset,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,AI-ready
Risks,"Known reuse risks that could lead to misguided conclusions, provided as an ENUMERATED LIST (not free text): each entry gives a risk type from the controlled vocabulary plus a severity. Ref: EML dataset/introduction; DataCite description[Other]; extension candidate.",Scientific,Guidance & Recommendations,Bias,"proposed definition generated by Claude


e.g., potential mislabeling; based on bias or limitations, where misguided conclusions may be drawn",recommended,All use cases,,dataset,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,AI-ready
Limitations,"Known limitations of the dataset, provided as an ENUMERATED LIST (not free text): each entry gives a limitation type from the controlled vocabulary plus a severity. Ref: EML dataset/introduction; DataCite description[Other]; extension candidate.",Scientific,Guidance & Recommendations,Bias,"proposed definition generated by Claude


e.g., lack of labeling in certain areas, information that is not collected",recommended,All use cases,,dataset,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,AI-ready
Is it experimantal data,"Whether the data arose from a designed experiment (vs observational collection), which may drive selection bias. Ref: EML dataset/methods/methodStep; schema.org sc:measurementTechnique.",Scientific,Guidance & Recommendations,Experimental Design,"proposed definition generated by Claude


If selection/collection was driven by an experiment (this may drive selection bias or limitations)",core,Experimental data,,dataset,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,AI-ready
"if yes, design description","Description of the experimental design: treatments, controls, and units of observation. Ref: EML dataset/methods/methodStep; schema.org sc:measurementTechnique.",Scientific,Guidance & Recommendations,Experimental Design,"proposed definition generated by Claude


description of the experimental setup",core,Experimental data,,dataset,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,AI-ready
Supported ML Tasks,"Machine Learning tasks to which the dataset is suited, drawn from the controlled vocabulary (e.g., species classification).",Scientific/Structural,Guidance & Recommendations,Usage Recommendations,"e.g., species classification, HF tasks
These should probably be broken into two",recommended,Supervised-ML; all use cases,,dataset,dataset/purpose,,,,croissant-partial,AI-ready
Benchmark / Leaderboard results,Model evaluation results across tasks (leaderboard) reported for this dataset.,Scientific/Structural,Guidance & Recommendations,Usage Recommendations,"e.g., species classification, HF tasks
These should probably be broken into two",recommended,Supervised-ML; all use cases,,dataset,dataset/purpose,,,,croissant-partial,AI-ready
Usage Guidelines - Recommendations,"Recommended uses provided as a CONTROLLED-VOCABULARY list of in-scope ML tasks (see Supported ML Tasks vocabulary), not free text.",Scientific/Structural,Guidance & Recommendations,Usage Recommendations,,recommended,All use cases,,dataset,dataset/purpose,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,AI-ready
AI/ML Usage History,Record of prior AI/ML use of the dataset (models trained or benchmarked on it). Ref: schema.org sc:citation; DataCite relatedIdentifier[IsCitedBy].,Provenance/Scientific,Guidance & Recommendations,Usage Recommendations,"proposed definition generated by Claude


Could be what it's used for, e.g., side panel on TOL-200M linkage to models trained on the data",recommended,All use cases,,dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""IsCitedBy""]",sc:citation,sc:citation,croissant-partial,AI-ready
Usage Recommendations: Out-of-Scope,"Tasks this dataset should NOT be used for, provided as a CONTROLLED-VOCABULARY list of out-of-scope ML tasks (not free text).",Scientific,Guidance & Recommendations,Usage Recommendations,,recommended,All use cases,,dataset,dataset/purpose,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,AI-ready
Reporting Issues,sc: discussionURL works with alternate contact email,Provenance,Guidance & Recommendations,Usage Recommendations,,recommended,All use cases,,dataset,,,sc:discussionUrl,sc:discussionUrl,croissant-partial,AI-ready | Reusable
Direct Download,"Indicate whether or not file transfer is directly from a single web server to your local device. For instance, a direct download link begins file transfer immediately to local storage rather than opening or displaying a preview in a web browser.",Structural,Data Access,Delivery Options,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)],core,All use cases,,dataset,dataset/distribution/online/url,,sc:distribution,cr:FileObject/sc:contentUrl,croissant-native,Accessible
API Available,Is there an applicaiton programming interface (API) available that provides a mechanism to enable two software components to communicate with each other.,Structural,Data Access,Delivery Options,,recommended,All use cases,,dataset,dataset/distribution/online,,sc:distribution/sc:url,cr:FileObject/sc:contentUrl,oos->extension,Accessible
API Type,"APIs are frequently characterized by their access scope (e.g., Public, Private, Partners - shared with partners with explicit access rights) and architecture (e.g., REST uses standard HTTP methods, GraphQL - a query langauage allows for requests of exact data needed).",Structural,Data Access,Delivery Options,depends on yes to above,core,API/large-scale access,,dataset,dataset/distribution/online,,sc:distribution/sc:url,cr:FileObject/sc:contentUrl,oos->extension,Accessible
API reference/documentation,link to API documentation ,Structural,Data Access,Delivery Options,"Or does this come as property under WebAPI?
depends on yes to API available",core,API/large-scale access,,dataset,,,sc:APIReference,,oos->extension,Accessible
rate limit,"Restriction on how many requests a user or system can repeat an action within a set timeframe (e.g., 100 API requests per minute). Rate limits present server overloads, block malicious bot attacks and web scraping, and ensure fair resource distribution.",Structural,Data Access,Delivery Options,SR: This term needed further definition according to feedback doc,core,API/large-scale; agentic/streaming access,,dataset,,,,,oos->extension,Accessible
Cloud Access,"Indicate whetherthe data stored on remote, internet-hosted servers rather than a local hard drive.",Structural,Data Access,Delivery Options,,core,Large-scale; cloud-hosted,,dataset,dataset/distribution/online/url,,sc:distribution/sc:contentUrl,cr:FileObject/sc:contentUrl,croissant-native,Accessible
Machine-readable Format,"Indicate whether or not the data are structured so that computers can automatically process, extract, and analyze it without human intervention.",Structural,Data Access,"Format accessibility (open, proprietary, etc.)",,recommended,All use cases,,dataset,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,Interoperable | Accessible
Open Format,Indicate whether or not the file format one that can be used and implemented by anyone without requiring proprietary software.,Structural/Provenance,Data Access,"Format accessibility (open, proprietary, etc.)",,recommended,All use cases,,dataset,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,Accessible | Interoperable
Multiple Formats,Indicate whether or not there are multiple file formats for the dataset.,Structural,Data Access,"Format accessibility (open, proprietary, etc.)",,recommended,All use cases,,dataset,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution,cr:FileObject/sc:encodingFormat,croissant-native,Accessible
License,sc:license works,Provenance,Data Access,License/ Usage Rights,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)],core,All use cases,,dataset,dataset/licensed,rightsList/rights,sc:license,sc:license,croissant-native,Accessible | Reusable
Standardized/Machine-readable?,Indicate whether or not the license can be read by a computer without any human intervention.,Provenance/Structural,Data Access,License/ Usage Rights,Because sometimes there is a bespoke license...,recommended,All use cases,,dataset,dataset/licensed/[url | identifier],"rightsList/rights[@rightsIdentifierScheme=""SPDX""]",sc:license,sc:license,croissant-partial,Accessible | Reusable
Personal and Sensitive Information,"Presence and handling of personal or sensitive content (human subjects, endangered-species locations). Ref: no native schema.org/Croissant term (governance extension candidate); cf. CARE Principles.",Provenance/Scientific,Data Access,Security / Privacy,"proposed definition generated by Claude


e.g., endangered species information, human subjects",core,Human/sensitive data; endangered species,,dataset,,,,,oos->extension,Accessible | Reusable
Restricted Data Access,"Conditions under which access is restricted (e.g., HIPAA, sensitive taxa). Ref: schema.org sc:conditionsOfAccess.",Provenance/Structural?,Data Access,Security / Privacy,"proposed definition generated by Claude


e.g., HIPPA",core,Restricted/sensitive data,,dataset,,,sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,Accessible
Secure Access,The procedure for obtaining access when access is conditional or secured. Ref: schema.org sc:conditionsOfAccess.,Structural?,Data Access,Security / Privacy,"proposed definition generated by Claude


How to get access if conditional/secure?",core,Restricted/sensitive data,,dataset,,,sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,Accessible
Author,"The entity (person, organization, device??, or system) responsible for creating or revising a piece of biological data.",Provenance,Provenance,"citation for ""this dataset""",For the croissant mapping in this section of the checklist we will need to be mapping to PROV ontology as described: https://docs.mlcommons.org/croissant/docs/croissant-spec-1.1.html#provenance-representation],recommended,All use cases,,dataset,dataset/methods/methodStep/dataSource/creator,creators/creator,sc:creator,sc:creator,croissant-native,Reusable
