position,section,group_title,item_id,question_id,title,description,question_type,required,options,validation
29,Data Structure (Matt),,3de59b26,,Data Structure (Matt),"Data Format, Data organization, Features, Technical Specs",SECTION_BREAK,False,,
30,Data Structure (Matt),,3a316891,,Data Format,,textItem,False,,
31,Data Structure (Matt),,1de7e284,28b8f86f,What file format(s) encode the data?,MAPS TO: schema.org: encodingFormat | Croissant: encodingFormat,choiceQuestion,True,"Tabular / delimited text (CSV, TSV, XLSX, etc.) | Parquet/Arrow | JSON/JSONL | JPG/PNG/WebP/TIFF (etc.) | Non-geospatial array-based scientific data container (NetCDF, HDF5, Zarr, etc.) | Georeferenced raster data (GeoTIFF, COG, GRIB, NetCDF, Zarr, etc.) | Georeferenced vector data (points, lines, polygons; GeoPackage, GeoJSON, Shapefile, etc.) | WAV/FLAC/MP3 (etc.) | MP4/MKV (etc.) | Database file (embedded, e.g. SQLite)",
32,Data Structure (Matt),,62535650,4ec34708,What is the dataset layout pattern?,MAPS TO: schema.org: distribution,choiceQuestion,True,"Single file | Many independent files | Partitioned dataset (by year, region, taxon, etc.) | Database file | API-only | Mixed",
33,Data Structure (Matt),,7d9494fb,74741fcc,What is the primary unit of data that is to be operated on?,"E.g., 'Each row is a species observation'; 'Each file is a satellite image'. | MAPS TO: Croissant: field/@name",textQuestion,True,,
34,Data Structure (Matt),,5da30379,,Data Organization,,textItem,False,,
35,Data Structure (Matt),,510daebe,615f75cf,What is the organizational structure of the dataset?,MAPS TO: Croissant: recordSet,choiceQuestion,True,Tabular | Raster image | Vector image | Relational database | Audio stream | Video | Time series | Graph/network,
36,Data Structure (Matt),,1493512e,,Features,MAPS TO: Croissant: field,textItem,False,,
37,Data Structure (Matt),,60693837,5261d567,What features or attributes are included for each data instance?,"E.g., species name, location, date, observer ID, etc. | MAPS TO: Croissant: field",textQuestion,True,,
38,Data Structure (Matt),,4b3b2d35,,Technical Specifications,,textItem,False,,
39,Data Structure (Matt),,5428ef19,4d67c37c,What are the technical specifications of the dataset?,"Include file sizes, total dataset size, resolution, bit depth, sampling rate, etc.",textQuestion,True,,
40,Source Data,,733a7168,,Source Data,"Annotation, Collection, Instrumentation, Methods, Preparation This may have secondary questions for derived vs directly collected data, e.g., information about the source data vs collection method information (ex: sensors).",SECTION_BREAK,False,,
41,Source Data,,17ef5f03,,Annotation,MAPS TO: Croissant: annotation,textItem,False,,
42,Source Data,,5f02bdb0,5103982e,Annotation Types: What types of annotations or labels are included in the dataset (if any)? Select all that apply:,,choiceQuestion,True,"Categorical labels (e.g. species names or class IDs) | Spatial annotations (e.g. bounding boxes, segmentation masks) | Textual descriptors or tags | No annotations",
43,Source Data,,69d9a302,036f7f14,Annotation Process: How were the annotations generated or obtained? Select all that apply:,MAPS TO: Croissant: annotation,choiceQuestion,True,Manually by domain experts | Crowdsourced by volunteers | Automatically by an algorithm or sensor | Mixed (human-reviewed automation) | Not applicable (no annotations),
44,Source Data,,193cd4ea,2b22cc0b,"Annotators (Contributors): Who performed the data annotations? If available, provide a list of annotators (e.g., ORCiDs), or names/versions of automated tools or systems; or other relevant information.",,textQuestion,False,,
45,Source Data,,6cee5061,,Collection,MAPS TO: Croissant: conditionsOfAccess,textItem,False,,
46,Source Data,,016c1327,08c96f68,Collection (Data Source Type): What type(s) of source data were collected or used to generate this dataset?,,choiceQuestion,True,"Field observations or surveys by humans | Sensor-based data collection | Specimens, samples, and lab results | Derived or processed data",
47,Source Data,,54f57d0c,183a2c74,"Collection (Source Data / Data Source Citation(s)): If this is a derived dataset, list the original data source(s) used and provide citation/identifier information for each.","Include: Title / dataset name Persistent identifier (DOI, URL, ARK, w3id, etc.) Relation to this dataset (e.g., Cites, IsDerivedFrom, IsPartOf, References) Publisher / data catalog (if applicable)",textQuestion,False,,
48,Source Data,,35c388e8,4c176720,Collection (Curation Rationale): What was the primary rationale for curating or assembling this dataset? Select one:,,choiceQuestion,True,"Consolidate distributed sources into a unified dataset | Create ML‑ready structure for AI/analytics | Improve data quality (cleaning, normalization, deduplication) | Enhance discoverability/interoperability",
49,Source Data,,1911a013,57b7f3ae,"Collection (Part of a Larger Collection): If this dataset part of a larger collection or series, provide the following information:","Collection/series name Persistent identifier Relationship (IsPartOf, HasPart, IsPublishedIn) Catalog or repository name",textQuestion,False,,
50,Source Data,,187b8974,,Instrumentation,MAPS TO: Croissant: measurementTechnique,textItem,False,,
51,Source Data,,44599cfe,1c8b5440,"Instrumentation: Describe the instruments or sensors used to collect the data, including their specifications and configuration.","Include as applicable: Instrument/sensor name and model Manufacturer Sensor type (e.g., microphone, camera, spectrometer) Key technical specs (resolution, sampling rate, spectral range, dynamic range) Deployment/operational configuration (height, orientation, settings) Calibration procedures Applicable to: bioacoustics, remote sensing, environmental sensors, imaging, lab equipment, etc. | MAPS TO: Croissant: measurementTechnique",textQuestion,False,,
52,Source Data,,2190a437,,Methods,,textItem,False,,
53,Source Data,,7b60a0ef,23212a34,Methods (Collection Method Documentation): Describe the methods used to collect or generate the data.,"You may include: Field, laboratory, computational, or remote‑sensing protocols SOPs, manuals, workflow documents Genetic, acoustic, imaging, trait measurement, or phylogenetic inference procedures Links (URL/DOI) to method documentation Deviations or customizations compared to standard methods | MAPS TO: Croissant: conditionsOfAccess",textQuestion,True,,
54,Source Data,,36196a19,3ed90672,Methods (Spatial Resolution): Select all that apply,,choiceQuestion,True,Point location (single coordinates) | Plot/transect/area-based | Grid-based | Pixel-based (remote sensing) | Voxel/3D resolution (LiDAR) | Not spatially explicit,
55,Source Data,,1b4a7064,3778d03f,"Methods (Spatial Extent): Description of geographic coverage (region, bounding box, domain)",MAPS TO: schema.org: spatialCoverage,textQuestion,True,,
56,Source Data,,2ec996bb,4d1f0327,Methods (Temporal Resolution): Select all that apply,,choiceQuestion,True,"Instantaneous / event-based | High-frequency (sub-second, acoustics, accelerometers) | Hourly, daily, weekly, monthly, seasonal | Annual | Continuous / streaming | Not time-explicit",
57,Source Data,,2957e0d4,4ec2b868,Methods (Temporal Extent):,"Start date End date (or leave blank if ongoing) Optional description (e.g., “seasonal sampling 2010–2024”) | MAPS TO: schema.org: temporalCoverage",textQuestion,True,,
58,Source Data,,3f0c36f4,,Preparation,,textItem,False,,
59,Source Data,,6a3d8e3a,27d747df,"Preparation: Describe any data preparation, cleaning, transformation, or quality-control steps performed prior to generating the final dataset.","Include as relevant: Filtering, trimming, or excluding records Merging or harmonizing multiple data sources Manual corrections or expert verification Gap filling, imputation, normalization Feature engineering or deriving new variables Conversion of raw formats (e.g., raw sensor → - calibrated values) Acoustic filtering, image preprocessing, sequence cleaning, trait standardization Software tools, scripts, or pipelines used (with links if available)",textQuestion,True,,
60,Data Processing,,70b79f7f,,Data Processing,"Correction/Standardization of values, Gaps filled, Labeling/re-labeling, Outlier removal, Splits",SECTION_BREAK,False,,
61,Data Processing,,302ccaff,,Correction / Standardization of Values,"Describe corrections applied to existing data values, and whether the data values have been standardized in any way.",textItem,False,,
62,Data Processing,,4da26d86,32d5ba76,Were any of the following standardization or correction steps applied to the dataset?,,choiceQuestion,False,"Data gridding (e.g., interpolation) | Unit consistency (e.g., all in metric) | Data anonymization (removing personal IDs) | Standardizing categorical codes | Standardizing image dimensions/color spaces",
63,Data Processing,,7f0b6ee8,,Gaps Filled,Describe whether and how gapfilling procedures have been used to replace missing or removed values in the data.,textItem,False,,
64,Data Processing,,580f7270,0ac94a79,Were missing values or data gaps filled in the dataset?,,choiceQuestion,False,Yes | No | Not applicable,
65,Data Processing,,24d26b4a,7a5f90ac,"If gaps were filled, describe the method(s) used.","Include interpolation, imputation, or model-based gap-filling approaches.",textQuestion,False,,
66,Data Processing,,5245aafb,,Labeling / Relabeling,Describe any labels or annotations applied to entities in the dataset and the methods used to apply them.,textItem,False,,
67,Data Processing,,092e1653,11bd70d5,Were any labeling or relabeling steps applied to the dataset?,,choiceQuestion,True,Yes – primary labeling applied | Yes – relabeling/standardization applied | No | Not applicable,
68,Data Processing,,5b78766d,5f2ab42e,"If labeling or relabeling was performed, describe the process.","Include label sources, standardization methods, and alignment with external taxonomies or ontologies.",textQuestion,False,,
69,Data Processing,,352e8ad9,,Data Filtering and Outlier Removal,"Describe any removals of erroneous or unwanted data values, and how outlier data values were identified and removed.",textItem,False,,
70,Data Processing,,69768469,4716b290,Were any outlier removal or filtering procedures applied to the dataset?,,choiceQuestion,True,Yes | No | Not applicable,
71,Data Processing,,4187914e,153fdf16,"If yes, describe the outlier detection and removal methods used.","Include statistical thresholds, manual review, or algorithmic approaches for outlier removal.",textQuestion,False,,
72,Data Processing,,029c27ca,,Splits,"Datasets are often split into training, validation, and/or test subsets. Describe whether and how this was done.",textItem,False,,
73,Data Processing,,565d69f4,681e1a45,"Has the dataset been split into training, validation, and/or test sets?",MAPS TO: Croissant: RecordSet (splits),choiceQuestion,True,Yes – predefined splits provided | No – users define their own splits | Not applicable,
74,Data Processing,,5ee3ecd6,5b624d85,"If splits are provided, describe how they were created.","Include whether splits were random, stratified, temporal, their proportions, and how data leakage was avoided.",textQuestion,False,,
75,Data Quality,,74479e8c,,Data Quality,"Completeness, Consistency, Integrity, Timeliness",SECTION_BREAK,False,,
76,Data Quality,,79888a12,,Completeness,"The breadth of a dataset compared to an ideal 100% completion (spatial, temporal, demographic, etc.); important in avoiding bias",textItem,False,,
77,Data Quality,,082562f5,08e384a7,"Is this dataset complete (i.e., there are no plans for further updates to this data product)?",,choiceQuestion,True,Yes | No | In progress | Regularly updated,
78,Data Quality,,077c5978,3d7f6acd,Have quality assurance checks been run and have they passed?,MAPS TO: Croissant: variableMeasured,choiceQuestion,True,"Yes, and all passed. | Yes, but not all passed. | No (chance to explain next)",
79,Data Quality,,1e8f5f32,36ac037d,What data processing steps have been completed?,,textQuestion,True,,
80,Data Quality,,0d4e3f66,,Data Quality: Timeliness,"the speed of data release, compared to when an event occurred or measurements were made; requirements will vary depending on the timeframe of the phenomenon (e.g., severe thunderstorms vs. climate change, or disease outbreaks vs. life expectancy trends)",textItem,False,,
81,Data Quality,,7b3e849b,5660ba69,This dataset is ...,,choiceQuestion,True,updated in real-time (raw) | Quality-controlled (processed),
82,Data Quality,,2e7a1c0e,,Quality Assurance Issues,This should also be documented under Guidance and Recommendations.,textItem,False,,
83,Data Quality,,00018e32,1f53dab0,Please describe the quality checks that have failed and provide context for downstream users to work with the data as-is or resolve the issues.,,textQuestion,True,,
84,Data Quality,,65a344f7,,Quality Assurance checks not performed,This should also be documented under Guidance and Recommendations. | MAPS TO: Croissant: variableMeasured,textItem,False,,
85,Data Quality,,7e89a667,03aa07f1,Please explain why quality checks were not performed and provide context for downstream users to work with the data as-is or resolve potential issues.,,textQuestion,False,,
86,Data Quality,,61904cc6,66643f7a,Describe any known gaps or limitations in the dataset’s completeness.,"Include known spatial, temporal, or content gaps and their potential impact.",textQuestion,False,,
87,Data Quality,,7a6409c4,,Data Quality: Consistency,"uniformity within the entire dataset or compared with similar data collections; for example, no changes in units or data types over time; item measured against itself or its counterpart in another dataset or database",textItem,False,,
88,Data Quality,,4da47a7a,00c468d8,Have all units been translated into compatible forms?,,choiceQuestion,True,Yes | No | Units are documented for compatibility | Script is provided to standardize | No units requiring standardization,
89,Data Quality,,5f5ac6a8,3bbc184f,Do data follow a controlled vocabulary?,,choiceQuestion,True,Yes | No,
90,Data Quality,,412ea305,765dbd23,Provide a reference to the controlled vocabulary used.,,textQuestion,False,,
91,Data Quality,,42425757,04962c48,Describe any known consistency issues or steps taken to ensure consistency.,Include examples of standardization and any remaining inconsistencies.,textQuestion,False,,
92,Data Quality,,7f5bb4f0,,Data Quality: Integrity,verification that the data remains unchanged from the original; aka data fixity,textItem,False,,
93,Data Quality,,3fb99a74,6ea1e156,Have any quality assurance or peer review procedures been applied to the dataset?,,choiceQuestion,True,Internal quality control | External peer review | Automated validation scripts | Manual data checks | None,
94,Data Quality,,1dd2bfc9,37095b92,Describe the procedures used to ensure data integrity.,"Include use of checksums, version control, or audit trails to ensure data remains unchanged.",textQuestion,False,,
95,Data Quality,,566bd94e,,Timeliness,,textItem,False,,
96,Data Quality,,3f5831d8,70293948,What is the timeliness of the data?,,choiceQuestion,True,Real-time or near real-time | Periodically updated | Static (not updated) | Historical archive,
97,Data Quality,,63bf627f,444402cb,Describe the time lag between data collection and availability.,"E.g., 'published within 24 hours of collection' or 'released annually'.",textQuestion,True,,
98,Guidance and Recommendations,,1d4b414e,,Guidance and Recommendations,"Bias, Experimental Design, Usage Recommendations",SECTION_BREAK,False,,
99,Guidance and Recommendations,,14af11a7,,Bias,Describe any potential sources of bias in the dataset.,textItem,False,,
100,Guidance and Recommendations,,72b8ad54,405e7852,Are there known sources of bias in the dataset?,,choiceQuestion,True,Sampling bias | Instrumentation bias | Observer bias | Processing bias | No known bias,
101,Guidance and Recommendations,,0bdd4870,7643fb0d,Describe any known risks or limitations associated with the dataset.,"Include limitations in scope, accuracy, representativeness, or potential misuse.",textQuestion,False,,
102,Guidance and Recommendations,,74ba60c3,,Experimental Design,,textItem,False,,
103,Guidance and Recommendations,,51ad2d09,03dd0f47,Is the dataset based on experimental data?,,choiceQuestion,True,Yes | No | Not sure,
104,Guidance and Recommendations,,5b97bde4,50dbbbee,"If yes, describe the experimental design.","Include information about treatments, controls, replication, randomization, etc.",textQuestion,False,,
105,Guidance and Recommendations,,430c931f,,Usage Recommendations,,textItem,False,,
106,Guidance and Recommendations,,572a138f,157e16c4,What are the recommended or intended uses of this dataset?,"Include types of analyses, models, or applications this dataset is suited for.",textQuestion,True,,
107,Guidance and Recommendations,,1ac4a446,77d14010,Are there any known inappropriate or discouraged uses of this dataset?,Include contexts where the dataset may be misleading or ethically problematic.,textQuestion,False,,
108,Guidance and Recommendations,,13140f27,41150635,Has this dataset been used in AI/ML applications previously?,,choiceQuestion,True,Yes | No | Not sure,
109,Guidance and Recommendations,,5ac04785,5486f13f,"If yes, describe how the dataset has been used in AI/ML applications.","Include references to models, benchmarks, or publications if available.",textQuestion,False,,
110,Guidance and Recommendations,,6c06349f,790b0859,"Include references to models, benchmarks, or publications if available.","Include documentation, licensing considerations, or community standards to follow.",textQuestion,False,,
111,Guidance and Recommendations,,685f56fb,50f38b34,How should users report issues or errors in the dataset?,"Provide contact email, issue tracker link, or other method for reporting problems.",textQuestion,True,,
112,Data Access,,6fa868af,,Data Access,"Delivery Options, Format Accessibility (open, proprietary, etc.), License/Usage Rights, Security/Privacy",SECTION_BREAK,False,,
113,Data Access,,33d8ee3b,,Delivery Options,,textItem,False,,
114,Data Access,,1804e13f,020d4832,Is the dataset available for direct download?,,choiceQuestion,True,Yes | No | Not sure,
115,Data Access,,147fcd7c,5758c370,Is the dataset accessible via an API?,,choiceQuestion,True,Yes | No | Not sure,
116,Data Access,,3ef763e2,0e66eb8c,"If accessible via API, what type of API is provided?","E.g., REST, GraphQL, OPeNDAP",textQuestion,False,,
117,Data Access,,7bb6ff80,4277b81d,Is the dataset accessible via a cloud platform?,,choiceQuestion,True,Yes | No | Not sure,
118,Data Access,,611ddc53,,Format Accessibility,,textItem,False,,
119,Data Access,,513869c1,374df499,Is the dataset provided in a machine-readable format?,,choiceQuestion,True,Yes | No | Not sure,
120,Data Access,,227f0eef,333cf3e6,Is the dataset provided in an open (non-proprietary) format?,,choiceQuestion,True,Yes | No | Not sure,
121,Data Access,,6f37d4f9,21dbb94e,Is the dataset available in multiple formats?,,choiceQuestion,True,Yes | No | Not sure,
122,Data Access,,17699bb3,,License / Usage Rights,MAPS TO: schema.org: license | Croissant: license,textItem,False,,
123,Data Access,,5965d9f9,6131da42,What license applies to this dataset?,Provide full name or URL of the license | MAPS TO: schema.org: license | Croissant: license,textQuestion,True,,
124,Data Access,,6331389c,50588f65,Is the license information provided in a standardized or machine-readable format?,MAPS TO: schema.org: license | Croissant: license,choiceQuestion,True,Yes | No | Not sure,
125,Data Access,,451f06ec,,Security / Privacy,,textItem,False,,
126,Data Access,,57e5f7fa,5d4e396e,Does the dataset contain personal or sensitive information?,,choiceQuestion,True,Yes | No | Not sure,
127,Data Access,,4dd0d34c,454436ca,Is access to the dataset restricted in any way?,,choiceQuestion,True,Yes | No | Not sure,
128,Data Access,,381da654,5cd9d199,Is secure access required to obtain or use the dataset?,,choiceQuestion,True,Yes | No | Not sure,
129,Provenance,,17137813,,Provenance,,SECTION_BREAK,False,,
130,Provenance,,4a3dc347,,"Citation for ""this dataset""",How should this dataset be referenced or cited by others using it in their work?,textItem,False,,
131,Provenance,,07717118,5fafa7f0,Author and Author ORCID,,textQuestion,True,,
132,Provenance,,364f06c4,27a666f4,Curators (list all curators),,textQuestion,True,,
133,Provenance,,33ec4a2d,169e3d91,Dataset Card Author(s) (who is providing the description of the dataset?),,textQuestion,True,,
134,Provenance,,2639752a,4ca721e7,Dataset Card Contact or Expert Contact (who to contact with questions),,textQuestion,True,,
135,Provenance,,5ea3cdb6,10d6f595,"Data Citation (provide the full citation to be used, preferable to include Bibtex format)",,textQuestion,True,,
136,Provenance,,2d04f30e,05ed2980,Is this dataset derived from other sources?,,choiceQuestion,True,Yes | No,
137,Provenance: Derived Dataset?,,37f4547e,,Provenance: Derived Dataset?,These are questions to answer if the dataset is derived from existing data.,SECTION_BREAK,False,,
138,Provenance: Derived Dataset?,,215aeb2f,1dca8a3d,"Provenance Tracking: Provide information about the source data from which this dataset was derived (e.g., titles, summaries, and links)",MAPS TO: schema.org: name | Croissant: @name,textQuestion,True,,
139,Provenance: Derived Dataset?,,2211829d,2490d2cc,Source Data Producers (who created the source data?),,textQuestion,True,,
140,Provenance: Derived Dataset?,,24857dd5,5a0e01f1,Citation of subsumed datasets (cite your sources),,textQuestion,True,,
141,Provenance: Derived Dataset?,,0fda15cd,5ba8350d,Source data DOI (permalink for the sources),,textQuestion,True,,
142,Provenance: Derived Dataset?,,56638f2d,1decccb1,"Source data checksums: Provide completeness/component confirmation, e.g., checksum for a zip file or a list of image checksums to ensure downstream users can get the same data you did (sum-buddy can help with this if not provided by the source).",,textQuestion,True,,
143,Identifier,,356601f8,,Identifier,"Does the dataset have a unique, persistent, machine-resolveable identifier? Note that the checksums requested might be included in a file, such as a CSV, alongside the unique identifiers for your data points.",SECTION_BREAK,False,,
144,Identifier,,0bacb042,08a5d155,DOI (of this dataset),,textQuestion,True,,
145,Identifier,,753e75bb,2e03c227,"Checksums: Provide completeness/component confirmation, e.g., checksum for a zip file or a list of image checksums to ensure downstream users get the expected data (sum-buddy can help with this).",,textQuestion,True,,
146,Processing Platform or Software,,1204a276,,Processing Platform or Software,,SECTION_BREAK,False,,
147,Processing Platform or Software,,3dbdf83d,1101596b,Describe any processing platform or software used in the creation of this dataset.,,textQuestion,True,,
148,Processing Platform or Software,,0bcdd1f1,35bdb50b,Provide links to any software created for or used in the creation of the dataset.,,textQuestion,True,,
149,Other,,292b425c,,Other,Is there other information that was not collected in earlier sections?,SECTION_BREAK,False,,
150,Other,,40770cd5,7ddd515b,Other,,textQuestion,True,,
